age,income_band,region,tenure_months,prior_purchases,web_visits_30d,prior_campaign_response,credit_score_band,premium_support_calls_30d,welcome_email_click,first_month_usage_minutes,signup_30d
50.9,3,North,31.2,4,7,1,1,2,1,81.2,1
44.1,1,Midwest,6.7,0,6,0,2,0,0,0.0,0
40.6,2,West,12.0,0,6,1,1,0,0,0.0,0
38.4,4,Midwest,12.0,1,4,0,2,0,0,0.0,0
24.3,2,North,21.4,1,2,0,1,0,0,0.0,0
33.4,4,North,53.6,2,9,0,2,0,0,0.0,0
36.5,4,Midwest,98.1,5,10,0,3,1,1,69.2,1
54.7,4,South,22.3,2,10,0,2,0,0,0.0,0
46.1,4,North,16.9,2,10,0,2,2,1,149.2,1
20.8,1,South,27.5,0,7,0,2,0,0,0.0,0
45.9,4,Midwest,26.5,0,5,0,3,0,0,0.0,0
37.4,1,West,17.8,1,10,0,2,0,0,0.0,0
33.9,1,West,32.1,1,8,0,2,0,0,0.0,0
49.3,1,North,16.2,2,5,0,3,0,0,0.0,0
54.4,2,South,120.0,3,3,0,2,0,0,0.0,0
53.2,3,Midwest,1.2,2,2,0,2,0,0,0.0,0
31.9,2,North,14.1,1,5,1,2,0,0,0.0,0
38.3,1,West,12.1,2,5,0,1,0,0,0.0,0
46.0,2,West,35.3,1,9,0,3,0,0,0.0,0
53.7,2,South,5.1,1,10,0,2,0,0,0.0,0
36.2,3,North,13.7,0,8,1,1,0,0,0.0,0
39.8,2,South,28.7,2,3,0,2,4,1,111.6,1
28.7,1,South,22.2,1,5,0,2,0,0,0.0,0
27.6,2,North,18.9,3,4,0,2,0,0,0.0,0
51.8,2,Midwest,13.7,0,0,0,1,0,0,0.0,0
58.3,2,West,33.5,3,4,0,1,0,0,0.0,0
41.1,2,North,25.0,2,4,0,2,2,1,121.8,1
54.0,2,West,49.9,1,3,0,3,0,0,0.0,0
46.3,2,Midwest,31.7,4,3,0,2,0,0,0.0,0
34.3,2,West,3.6,1,4,0,2,0,0,0.0,0
46.3,4,West,23.2,1,4,0,1,1,1,69.9,1
60.5,1,South,1.1,0,9,0,3,0,0,0.0,0
41.6,3,South,11.8,1,4,1,2,2,1,112.5,1
60.8,3,South,12.7,1,7,0,2,0,0,0.0,0
18.0,1,Midwest,46.3,1,10,0,3,0,0,0.0,0
51.9,4,South,4.8,2,5,0,2,0,0,0.0,0
43.0,3,West,24.8,2,3,0,1,0,0,0.0,0
38.4,3,West,5.1,1,4,1,2,0,0,0.0,0
43.1,2,West,71.3,1,5,0,1,0,0,0.0,0
18.1,2,North,18.1,2,4,0,2,0,0,0.0,0
39.4,2,West,29.6,0,7,0,2,3,0,75.2,1
46.3,1,South,25.0,0,7,1,2,0,0,0.0,0
59.7,3,Midwest,8.7,1,7,0,1,0,0,0.0,0
35.8,4,Midwest,55.6,2,4,0,2,0,0,0.0,0
32.3,1,West,23.7,1,7,0,1,0,0,0.0,0
36.0,3,West,17.1,2,2,0,2,0,0,0.0,0
53.0,3,North,18.0,4,6,0,1,0,0,0.0,0
45.9,1,West,53.1,2,6,0,3,0,0,0.0,0
35.6,2,West,1.5,0,5,0,3,0,0,0.0,0
48.2,2,West,11.8,2,4,1,1,0,0,0.0,0
43.2,3,North,44.2,3,5,0,3,0,0,0.0,0
53.6,3,Midwest,1.0,2,5,0,2,0,0,0.0,0
33.6,1,West,24.5,1,6,0,1,4,1,146.9,1
38.1,2,Midwest,12.4,1,4,0,2,1,1,110.9,1
37.3,3,North,5.5,3,3,0,1,0,0,0.0,0
24.4,3,North,22.7,1,5,0,2,0,0,0.0,0
45.6,1,West,42.7,5,2,0,2,0,0,0.0,0
45.1,2,North,15.1,1,3,0,1,0,0,0.0,0
42.1,4,North,3.8,4,3,0,2,0,0,0.0,0
39.2,2,Midwest,8.8,3,3,0,2,0,0,0.0,0
25.0,2,South,95.6,1,4,0,1,0,0,0.0,0
37.0,3,Midwest,2.8,1,7,1,2,0,0,0.0,0
37.9,1,West,4.2,1,3,0,3,0,0,0.0,0
32.4,4,North,111.0,1,5,0,2,0,0,0.0,0
40.1,2,West,51.3,2,4,1,3,1,1,83.9,1
46.8,1,Midwest,29.5,1,5,0,1,0,0,0.0,0
64.6,1,North,3.9,8,6,0,3,1,0,52.2,1
44.1,1,West,6.6,2,7,0,2,0,0,0.0,0
45.1,1,West,4.8,2,7,0,2,0,0,0.0,0
41.1,3,Midwest,23.9,3,5,0,1,0,0,0.0,0
19.0,1,West,12.2,2,0,0,2,0,0,0.0,0
41.7,4,North,1.2,0,4,0,1,0,0,0.0,0
42.7,2,West,8.3,3,6,0,2,0,0,0.0,0
71.6,2,North,47.3,4,6,0,3,1,1,65.4,1
39.7,2,West,38.2,2,5,0,3,0,0,0.0,0
45.6,3,Midwest,24.7,1,7,0,1,0,0,0.0,0
41.6,2,North,2.1,2,4,0,2,0,0,0.0,0
28.0,1,West,51.5,3,5,0,3,4,1,59.6,1
55.7,4,South,18.4,1,3,0,3,0,0,0.0,0
51.0,2,North,16.4,1,3,1,2,0,0,0.0,0
51.5,1,North,65.3,0,6,0,2,0,0,0.0,0
31.1,2,North,1.0,1,9,1,3,2,1,74.9,1
58.8,3,South,19.5,2,1,0,1,0,0,0.0,0
25.2,2,Midwest,37.6,0,3,1,2,0,0,0.0,0
49.0,3,West,1.6,3,2,0,3,0,0,0.0,0
68.3,3,South,10.6,3,4,0,2,0,0,0.0,0
30.1,3,West,91.0,0,5,0,1,0,0,0.0,0
35.2,2,South,5.7,1,7,0,3,0,0,0.0,0
43.2,4,South,18.2,3,2,0,2,0,0,0.0,0
36.0,2,West,32.9,2,12,1,2,0,0,0.0,0
23.4,2,West,11.9,3,2,1,1,3,1,130.7,1
42.8,2,West,12.6,3,6,0,1,0,0,0.0,0
29.3,3,Midwest,1.6,0,7,0,2,0,0,0.0,0
47.7,1,North,5.1,1,5,0,2,0,0,0.0,0
31.0,1,South,51.0,3,2,1,1,0,0,0.0,0
60.6,3,North,40.9,3,8,1,2,0,0,0.0,0
32.6,2,West,8.7,2,1,0,1,0,0,0.0,0
38.1,2,West,11.5,2,2,0,2,0,0,0.0,0
51.8,3,South,13.9,1,6,0,3,1,1,124.3,1
27.2,3,South,10.2,0,7,0,1,0,0,0.0,0
44.7,1,South,25.5,0,4,0,2,0,0,0.0,0
57.7,1,South,1.0,1,7,0,2,0,0,0.0,0
22.7,4,South,50.9,3,2,0,1,1,0,100.8,1
44.2,2,West,8.6,1,8,0,1,2,1,100.9,1
45.1,2,South,49.4,1,7,0,2,0,0,0.0,0
51.4,3,Midwest,14.5,1,3,0,2,0,0,0.0,0
27.2,2,North,35.9,1,4,0,2,0,0,0.0,0
26.2,1,North,41.9,0,2,0,2,0,0,0.0,0
48.3,1,Midwest,8.6,0,5,0,2,0,0,0.0,0
45.6,2,South,24.5,1,9,0,2,0,0,0.0,0
45.0,4,West,22.4,1,3,1,2,0,0,0.0,0
46.2,1,West,15.5,0,4,0,1,0,0,0.0,0
33.8,1,Midwest,15.2,4,6,0,2,0,0,0.0,0
44.8,4,Midwest,8.7,0,8,0,2,0,0,0.0,0
45.5,1,Midwest,8.9,1,5,0,1,0,0,0.0,0
33.4,3,North,19.1,3,2,0,2,0,0,0.0,0
64.4,1,Midwest,1.0,4,7,0,2,0,0,0.0,0
47.7,3,West,65.1,3,4,1,2,1,1,90.1,1
27.7,2,South,25.2,3,7,1,1,1,0,56.3,1
49.9,1,West,14.1,1,6,0,1,0,0,0.0,0
30.3,2,Midwest,1.5,2,3,0,1,0,0,0.0,0
51.4,3,West,23.9,2,4,1,2,0,1,37.4,1
55.9,3,North,1.0,0,7,0,1,0,0,0.0,0
32.2,3,West,27.3,4,7,0,3,3,0,138.1,1
53.6,2,North,1.8,5,1,0,2,0,0,0.0,0
47.0,2,South,25.6,1,5,0,1,1,1,44.0,1
51.9,3,Midwest,12.5,0,6,0,1,5,1,113.8,1
64.8,3,South,26.1,0,5,0,2,0,0,0.0,0
39.1,3,Midwest,3.6,1,4,0,2,0,0,0.0,0
33.0,2,South,3.0,2,2,0,1,0,0,0.0,0
31.3,1,South,6.8,2,6,0,2,0,0,0.0,0
32.2,1,South,12.7,2,6,0,2,0,0,0.0,0
41.1,2,North,7.0,3,4,0,1,0,0,0.0,0
46.1,4,North,2.1,3,7,1,2,0,0,0.0,0
45.3,3,West,9.4,3,6,0,1,0,0,0.0,0
51.9,2,West,29.4,1,5,0,2,0,0,0.0,0
42.2,2,West,21.0,0,4,0,2,0,0,0.0,0
59.4,1,Midwest,79.3,1,7,0,3,0,0,0.0,0
38.8,4,North,13.7,0,4,1,3,0,0,0.0,0
74.6,4,South,9.7,2,4,1,3,1,1,46.5,1
49.5,1,West,28.4,3,1,0,2,0,0,0.0,0
31.7,3,North,12.7,0,7,0,1,0,0,0.0,0
29.1,2,North,23.1,2,5,0,1,3,0,119.8,1
47.8,2,Midwest,70.2,2,3,0,1,0,0,0.0,0
39.3,3,South,16.6,2,3,0,1,0,0,0.0,0
50.6,3,North,16.5,2,6,1,1,0,0,0.0,0
47.7,3,North,35.8,2,7,0,1,3,1,95.4,1
41.1,1,West,33.9,2,3,0,2,0,0,0.0,0
31.8,2,Midwest,17.4,2,4,0,1,0,0,0.0,0
23.8,2,Midwest,1.6,3,1,0,2,0,0,0.0,0
36.6,2,South,94.9,0,11,0,1,0,0,0.0,0
52.3,2,Midwest,11.4,1,7,0,1,0,0,0.0,0
44.6,2,South,9.1,2,10,1,2,3,1,78.3,1
27.1,2,South,95.8,3,3,0,2,3,1,70.8,1
44.1,2,West,49.4,0,9,0,3,0,0,0.0,0
46.6,3,West,9.6,1,6,0,3,0,0,0.0,0
31.4,3,North,8.8,2,4,0,2,2,1,75.6,1
43.8,3,West,30.6,1,1,0,2,0,0,0.0,0
42.7,1,North,9.8,0,2,0,2,0,0,0.0,0
28.3,2,North,7.0,2,6,0,1,0,0,0.0,0
46.3,1,North,93.5,1,3,0,1,0,0,0.0,0
48.7,1,North,20.0,1,5,0,1,0,0,0.0,0
55.0,2,South,34.5,1,8,1,2,0,0,0.0,0
54.6,1,North,30.0,3,3,1,2,0,0,0.0,0
25.5,3,North,33.8,0,6,0,3,0,0,0.0,0
30.7,4,North,56.1,1,4,0,2,2,1,100.4,1
48.2,1,South,16.7,3,5,1,1,0,0,0.0,0
48.2,3,Midwest,33.6,0,5,0,2,0,0,0.0,0
48.2,1,Midwest,38.2,4,8,0,2,0,0,0.0,0
75.0,3,North,70.2,1,2,1,2,0,0,0.0,0
48.9,3,Midwest,30.0,2,4,0,2,0,0,0.0,0
55.6,4,West,53.6,0,9,0,2,0,1,194.1,1
53.4,1,West,2.4,1,6,0,2,0,0,0.0,0
49.8,2,West,3.2,2,2,0,1,0,0,0.0,0
38.2,1,West,4.1,2,6,0,2,0,0,0.0,0
51.1,2,South,3.8,0,3,1,2,0,0,0.0,0
32.7,4,North,2.2,1,8,0,2,0,0,0.0,0
39.2,3,South,3.1,0,5,0,2,0,0,0.0,0
36.2,3,South,120.0,0,4,0,2,0,0,0.0,0
43.0,2,North,7.6,2,3,0,2,0,0,0.0,0
69.8,4,South,15.6,3,2,0,2,0,0,0.0,0
19.6,2,North,41.4,3,6,1,1,0,0,0.0,0
50.2,1,South,3.0,1,8,0,2,0,0,0.0,0
22.6,3,Midwest,9.2,1,4,1,2,0,0,0.0,0
36.3,2,Midwest,4.2,1,7,0,2,0,0,0.0,0
55.1,1,West,1.6,1,5,0,1,0,0,0.0,0
42.8,1,Midwest,77.7,0,3,0,2,0,0,0.0,0
29.1,3,West,46.9,0,5,0,3,1,1,45.6,1
33.4,3,West,50.7,0,3,0,3,0,0,0.0,0
50.2,2,West,48.7,3,3,0,2,0,0,0.0,0
33.2,3,South,4.0,2,6,0,2,0,0,0.0,0
44.6,3,North,36.9,0,2,0,3,0,0,0.0,0
42.5,4,Midwest,31.2,0,7,0,2,0,0,0.0,0
34.2,2,North,62.3,1,7,0,1,0,0,0.0,0
67.7,3,Midwest,5.9,1,7,0,2,0,0,0.0,0
49.6,3,Midwest,12.8,3,4,0,2,0,0,0.0,0
18.0,2,South,8.4,0,5,0,1,0,0,0.0,0
44.2,2,Midwest,7.2,3,1,0,2,1,1,35.4,1
34.1,2,North,25.4,1,2,0,2,0,0,0.0,0
52.2,1,North,4.3,0,2,0,2,0,0,0.0,0
32.5,2,Midwest,15.0,4,3,0,3,0,0,0.0,0
40.6,2,North,25.0,2,4,0,2,0,0,0.0,0
48.1,1,West,3.4,2,6,0,1,0,0,0.0,0
52.4,1,North,7.1,1,6,0,3,0,0,0.0,0
27.6,2,West,82.1,0,3,0,2,0,0,0.0,0
38.0,3,West,38.1,4,3,0,3,0,0,0.0,0
36.3,3,North,27.1,2,3,1,1,0,0,0.0,0
34.2,2,West,46.5,4,6,0,2,0,0,0.0,0
63.2,2,North,1.0,2,10,0,2,0,0,0.0,0
46.9,2,North,1.0,1,7,0,1,0,0,0.0,0
26.9,1,Midwest,4.0,0,7,0,2,0,0,0.0,0
53.0,1,North,16.4,2,5,0,2,0,0,0.0,0
67.5,3,North,20.3,3,6,0,2,0,0,0.0,0
54.4,2,Midwest,2.9,4,3,0,1,0,0,0.0,0
23.8,3,South,1.8,1,3,1,3,0,0,0.0,0
36.2,3,North,42.3,0,2,1,3,0,0,0.0,0
57.2,1,South,15.0,2,4,0,2,1,0,107.5,1
33.5,2,South,117.4,3,4,0,2,0,0,0.0,0
47.3,2,Midwest,6.3,4,8,0,2,0,0,0.0,0
51.3,2,South,25.0,1,2,0,1,0,0,0.0,0
30.9,2,South,39.2,1,7,1,1,0,0,0.0,0
41.3,4,West,49.5,3,4,0,2,0,0,0.0,0
18.0,3,South,8.8,3,3,0,2,0,0,0.0,0
29.7,4,Midwest,5.2,1,4,0,2,0,0,0.0,0
39.0,1,North,6.2,4,12,0,2,3,0,125.4,1
27.0,1,West,26.4,2,4,0,2,0,0,0.0,0
61.6,1,Midwest,17.7,1,10,0,1,0,0,0.0,0
24.8,2,Midwest,21.9,0,2,1,2,0,0,0.0,0
36.7,2,West,1.0,1,8,0,1,0,0,0.0,0
43.6,3,West,11.9,0,4,0,2,0,0,0.0,0
59.3,2,Midwest,8.9,2,8,0,2,3,1,99.5,1
24.8,4,North,47.8,1,6,0,2,0,0,0.0,0
56.0,4,South,35.9,0,8,0,2,0,0,0.0,0
42.1,1,North,13.5,3,4,0,2,0,0,0.0,0
30.2,4,South,23.9,3,1,1,1,0,0,0.0,0
47.5,2,North,1.2,1,7,0,1,0,0,0.0,0
44.4,2,West,24.3,2,6,0,2,0,0,0.0,0
34.8,3,West,2.5,2,4,0,1,2,0,47.4,1
42.8,1,West,30.0,2,2,0,2,0,0,0.0,0
37.4,4,Midwest,20.5,2,4,0,2,1,0,133.0,1
43.4,3,Midwest,8.6,2,3,0,2,0,0,0.0,0
49.9,4,South,11.1,3,7,1,2,0,0,0.0,0
61.0,4,West,2.3,4,4,0,1,3,1,58.2,1
27.1,2,Midwest,9.4,1,9,0,3,1,1,78.5,1
67.6,1,Midwest,81.8,0,5,0,1,0,0,0.0,0
18.6,1,West,16.0,3,5,0,1,0,0,0.0,0
40.2,2,North,15.4,2,8,0,3,2,1,133.8,1
49.1,1,West,23.8,6,3,0,1,0,0,0.0,0
45.4,3,South,15.9,2,5,0,1,0,0,0.0,0
34.5,2,West,10.5,5,5,0,2,0,0,0.0,0
39.5,4,North,3.6,1,4,0,2,0,0,0.0,0
36.1,3,North,23.9,0,2,1,2,0,0,0.0,0
34.9,1,West,33.2,0,3,0,1,0,0,0.0,0
52.2,2,Midwest,61.6,2,5,1,1,0,0,0.0,0
46.3,2,North,1.0,1,4,0,1,0,0,0.0,0
33.7,2,South,1.7,1,4,1,2,5,1,52.2,1
52.8,2,Midwest,55.1,3,5,0,2,0,0,0.0,0
45.7,1,South,23.9,0,10,0,2,0,0,0.0,0
51.8,3,South,76.0,1,5,1,2,0,1,191.9,1
49.6,2,South,13.5,2,5,0,3,0,0,0.0,0
32.1,3,South,12.9,3,3,1,2,0,0,0.0,0
35.3,3,North,10.1,2,3,0,1,0,0,0.0,0
51.0,1,Midwest,3.7,2,8,0,2,0,0,0.0,0
49.3,1,West,11.4,3,3,0,1,2,0,52.8,1
41.7,3,North,1.0,1,2,1,2,1,1,63.0,1
43.4,4,Midwest,17.1,1,4,0,3,0,0,0.0,0
57.3,2,West,45.1,0,5,0,3,0,0,0.0,0
34.9,2,West,9.3,1,6,0,1,1,1,46.2,1
48.6,1,North,2.4,0,2,0,2,0,0,0.0,0
39.6,2,Midwest,87.4,0,1,0,3,0,0,0.0,0
39.4,2,South,3.3,2,7,0,3,0,0,0.0,0
55.2,2,South,18.1,1,5,0,2,0,0,0.0,0
51.9,3,West,39.8,1,3,0,2,0,0,0.0,0
51.8,2,North,7.0,0,4,0,1,0,0,0.0,0
57.7,1,North,44.2,3,11,0,1,1,1,77.2,1
42.3,2,South,19.5,2,7,0,1,0,0,0.0,0
50.2,4,North,9.7,0,5,0,2,0,0,0.0,0
38.3,2,North,48.2,2,7,0,3,2,1,119.3,1
45.9,4,Midwest,23.3,2,2,0,1,0,0,0.0,0
40.4,2,Midwest,22.9,0,8,0,2,5,0,33.9,1
43.2,2,West,16.8,3,4,1,2,0,0,0.0,0
49.1,1,Midwest,7.7,2,6,0,2,0,0,0.0,0
32.2,3,North,8.7,0,8,0,2,0,0,0.0,0
67.1,2,South,2.2,0,8,0,1,0,0,0.0,0
29.9,3,South,6.7,3,8,0,3,0,0,0.0,0
27.4,3,South,7.8,1,8,0,2,0,0,0.0,0
55.9,3,West,1.5,2,3,0,3,0,0,0.0,0
51.5,1,South,2.8,2,7,1,1,0,0,0.0,0
49.5,3,Midwest,7.6,2,6,0,1,1,1,117.2,1
49.5,2,Midwest,27.1,1,4,0,3,0,0,0.0,0
41.9,2,North,4.9,3,4,0,2,0,0,0.0,0
31.2,2,West,17.7,3,6,0,2,0,0,0.0,0
42.9,3,South,17.0,1,3,1,2,0,0,0.0,0
33.9,1,North,43.1,1,3,0,1,0,0,0.0,0
53.7,2,South,22.5,0,7,0,1,0,0,0.0,0
40.2,2,South,59.7,0,2,0,3,0,0,0.0,0
32.1,2,North,23.7,4,7,0,3,0,0,0.0,0
38.1,1,Midwest,1.0,2,6,0,3,0,0,0.0,0
47.0,1,North,11.5,2,5,0,1,0,0,0.0,0
35.2,1,West,28.8,2,3,0,1,0,0,0.0,0
32.1,2,North,15.5,1,7,1,2,0,0,0.0,0
44.9,4,South,13.0,2,2,0,1,0,0,0.0,0
44.9,1,Midwest,26.7,0,7,0,2,0,0,0.0,0
35.9,2,North,8.1,1,2,1,2,0,0,0.0,0
36.3,2,Midwest,57.5,3,3,0,2,3,0,62.0,1
44.8,3,Midwest,12.8,3,2,0,3,0,0,0.0,0
24.6,1,Midwest,23.9,0,7,0,2,0,0,0.0,0
25.1,1,Midwest,96.9,1,3,0,1,0,0,0.0,0
33.4,1,South,36.9,1,6,0,1,0,0,0.0,0
39.4,4,South,18.2,1,6,0,1,1,0,64.3,1
45.7,2,South,47.1,2,8,0,1,0,1,141.4,1
59.7,1,South,19.7,0,5,1,1,0,0,0.0,0
52.3,2,South,14.0,1,2,1,3,0,0,53.8,1
40.1,1,West,49.6,0,4,0,3,0,0,0.0,0
41.8,1,West,1.0,1,5,0,1,0,0,0.0,0
30.0,3,North,12.6,2,5,0,2,0,0,0.0,0
41.8,2,Midwest,10.1,0,8,0,2,0,0,0.0,0
38.5,3,West,30.0,1,6,0,1,0,0,0.0,0
45.9,2,South,1.0,2,3,0,3,0,0,0.0,0
32.1,2,Midwest,26.0,2,6,0,2,1,1,124.9,1
48.2,2,South,10.2,2,9,0,2,0,0,0.0,0
60.4,2,South,2.5,1,3,1,1,0,0,0.0,0
40.7,3,North,94.3,2,9,0,2,0,0,0.0,0
46.8,1,Midwest,5.7,2,7,0,2,0,0,0.0,0
50.3,3,South,10.3,1,2,0,3,2,1,65.9,1
37.2,4,South,5.6,1,10,0,2,0,0,0.0,0
44.7,1,North,26.0,3,3,0,1,5,1,106.4,1
42.2,4,Midwest,36.6,1,6,0,3,0,1,35.5,1
43.2,1,West,47.3,1,6,0,2,0,0,0.0,0
32.7,2,Midwest,8.9,3,9,0,3,0,0,0.0,0
42.3,3,South,17.8,1,3,0,2,0,0,0.0,0
48.0,2,West,26.1,2,4,0,2,0,0,0.0,0
59.4,1,North,23.8,1,4,0,3,4,1,98.6,1
53.5,3,North,30.2,2,8,0,3,0,0,0.0,0
67.8,4,South,35.2,3,9,0,1,0,0,0.0,0
32.8,1,Midwest,2.5,2,4,0,1,0,0,0.0,0
52.5,4,South,4.4,1,3,0,3,0,0,0.0,0
44.2,2,Midwest,31.8,0,7,0,3,0,0,0.0,0
68.3,4,North,15.5,2,2,0,2,0,0,0.0,0
32.3,1,South,13.4,0,6,0,2,0,0,0.0,0
31.9,3,South,14.6,2,6,0,2,0,0,0.0,0
34.8,1,West,11.2,1,6,0,1,0,0,0.0,0
18.0,4,South,21.5,1,7,0,2,0,0,0.0,0
35.7,3,Midwest,9.4,1,7,0,1,0,0,155.4,1
32.9,2,West,24.3,2,2,0,1,0,0,0.0,0
43.8,1,Midwest,5.4,0,2,0,3,1,1,78.8,1
46.1,3,West,34.0,1,6,0,2,0,0,0.0,0
64.5,3,North,36.5,0,4,0,2,0,0,0.0,0
53.4,2,Midwest,20.7,2,4,0,1,0,0,0.0,0
35.1,2,Midwest,11.1,2,5,0,2,0,0,0.0,0
31.2,3,South,1.0,0,2,0,1,0,0,0.0,0
47.9,2,North,3.1,0,10,0,2,0,0,0.0,0
26.2,1,West,2.0,1,4,0,2,0,0,0.0,0
64.0,4,West,1.0,3,5,0,2,2,0,188.1,1
56.2,2,North,30.7,1,5,0,1,0,0,0.0,0
36.4,2,South,75.0,1,5,0,2,0,0,0.0,0
21.4,1,Midwest,1.0,3,0,0,3,0,0,0.0,0
58.2,4,Midwest,2.9,1,4,0,2,0,0,0.0,0
40.6,1,South,47.3,1,3,0,2,0,0,0.0,0
56.9,3,West,28.0,2,4,0,3,1,1,178.2,1
22.9,4,South,12.4,0,1,1,2,0,0,0.0,0
34.8,1,Midwest,118.4,1,6,1,2,3,1,259.8,1
42.1,3,North,20.5,4,2,0,2,0,0,0.0,0
42.6,2,West,26.6,0,4,0,1,0,0,0.0,0
36.6,3,South,25.4,1,1,0,2,0,0,0.0,0
49.5,2,Midwest,6.0,1,7,0,1,2,1,36.5,1
29.2,3,West,16.1,1,6,0,1,0,0,0.0,0
40.3,2,South,5.9,1,2,0,2,0,0,0.0,0
43.4,1,North,17.1,5,3,0,2,0,0,0.0,0
48.2,4,West,1.0,2,2,0,3,0,0,0.0,0
50.5,1,North,11.5,2,5,0,3,0,0,0.0,0
28.5,3,Midwest,11.2,0,4,0,2,0,0,0.0,0
23.6,1,West,8.3,3,9,0,1,5,1,133.4,1
57.3,2,North,2.0,2,2,0,1,0,0,0.0,0
46.0,3,South,35.4,3,6,0,2,1,0,109.7,1
33.0,1,North,13.1,0,6,0,2,0,0,0.0,0
60.6,4,Midwest,40.4,0,3,0,3,0,0,0.0,0
43.4,2,South,43.3,1,6,0,2,0,0,0.0,0
56.2,2,North,5.8,0,8,0,2,0,0,0.0,0
42.8,3,West,13.1,0,5,0,2,0,0,0.0,0
66.7,2,North,30.6,3,3,0,1,0,0,0.0,0
63.1,2,West,16.6,3,5,0,3,0,0,0.0,0
39.0,3,West,46.4,1,1,0,2,0,0,0.0,0
53.7,2,North,20.3,2,6,0,2,0,0,0.0,0
49.7,1,Midwest,23.8,2,4,0,1,0,0,0.0,0
58.4,3,West,37.1,0,1,0,3,0,0,0.0,0
30.4,3,Midwest,3.1,2,4,1,3,0,0,0.0,0
50.2,2,West,21.1,1,2,0,1,0,0,0.0,0
54.7,2,West,2.1,0,3,0,3,0,0,0.0,0
20.9,3,North,7.2,0,7,0,2,0,0,0.0,0
27.8,2,West,5.7,1,6,0,2,0,0,0.0,0
18.0,2,South,20.1,3,3,0,2,0,0,0.0,0
38.8,4,North,44.6,2,4,0,2,0,0,0.0,0
50.6,1,South,3.4,3,6,0,2,3,0,117.3,1
60.0,2,South,35.1,3,5,1,2,0,0,0.0,0
42.9,4,West,3.7,2,3,0,2,0,0,0.0,0
61.5,3,Midwest,5.0,0,5,0,1,0,0,0.0,0
25.4,4,North,59.7,3,4,0,2,0,0,0.0,0
21.6,2,Midwest,1.0,2,2,0,1,0,0,0.0,0
41.3,2,North,5.3,2,2,0,1,0,0,0.0,0
46.6,4,South,5.8,1,5,0,2,0,0,0.0,0
41.6,2,West,7.9,1,6,0,1,3,1,73.5,1
18.0,3,West,10.8,2,1,0,2,0,0,0.0,0
40.9,1,West,2.6,1,2,0,2,1,1,208.9,1
26.3,3,Midwest,15.2,0,4,0,3,0,0,0.0,0
50.0,2,West,12.2,2,8,0,3,0,0,0.0,0
46.4,2,West,23.5,2,7,0,1,0,0,0.0,0
30.7,2,Midwest,48.5,1,8,0,2,0,1,89.0,1
35.8,3,Midwest,8.5,0,3,1,3,0,0,0.0,0
29.3,1,West,19.0,2,8,0,1,0,0,0.0,0
