id,loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,earliest_cr_line,open_acc,pub_rec,fico_range_high,fico_range_low,revol_bal,revol_util
60655803,10000, 36 months,14.6,344.95,C,10+ years,RENT,50000.0,Source Verified,debt_consolidation,14.5,0.0,1992-07-01,23.0,0.0,669,665,19217,38.0
118559599,10000, 36 months,9.9,322.35,B,1 year,MORTGAGE,80000.0,Not Verified,credit_card,15.98,0.0,1994-10-01,9.0,1.0,724,720,13813,37.0
113865247,2000, 36 months,9.9,64.47,B,3 years,RENT,42000.0,Verified,debt_consolidation,13.43,0.0,2010-11-01,6.0,0.0,664,660,1895,48.0
77249288,25000, 36 months,10.7,815.52,B,6 years,RENT,90000.0,Verified,debt_consolidation,27.19,0.0,2005-10-01,13.0,0.0,709,705,18298,45.0
34313495,10000, 36 months,8.6,316.47,B,1 year,RENT,50000.0,Source Verified,debt_consolidation,30.3,2.0,1993-10-01,7.0,0.0,664,660,8055,89.0
3805572,24000, 36 months,7.0,750.97,A,3 years,MORTGAGE,104000.0,Verified,debt_consolidation,13.25,0.0,1999-11-01,11.0,0.0,699,695,32701,82.0
93779991,3000, 36 months,11.3,98.78,B,,RENT,85000.0,Not Verified,debt_consolidation,1.43,0.0,2011-04-01,13.0,0.0,749,745,2757,4.0
91515266,24000, 36 months,13.9,820.15,C,1 year,RENT,68000.0,Source Verified,debt_consolidation,26.09,0.0,2005-04-01,11.0,0.0,694,690,31279,68.0
77299242,24000, 36 months,6.4,735.47,A,10+ years,MORTGAGE,90000.0,Not Verified,debt_consolidation,19.92,0.0,1999-02-01,23.0,0.0,759,755,11898,9.0
14599618,24125, 60 months,16.5,594.27,D,8 years,RENT,55000.0,Source Verified,debt_consolidation,15.88,0.0,1992-09-01,10.0,0.0,704,700,14850,72.0
138048104,6025, 36 months,15.0,208.92,C,5 years,RENT,38000.0,Not Verified,debt_consolidation,15.73,0.0,2003-06-01,5.0,0.0,684,680,5077,72.0
135658336,28000, 36 months,8.0,878.46,A,5 years,MORTGAGE,240000.0,Source Verified,credit_card,11.05,0.0,2000-09-01,9.0,0.0,709,705,32751,68.0
69515622,5000, 36 months,7.9,156.48,A,5 years,RENT,61500.0,Verified,debt_consolidation,12.39,1.0,2000-02-01,5.0,0.0,674,670,2615,56.0
7004642,20000, 36 months,21.1,755.05,E,10+ years,MORTGAGE,110000.0,Verified,debt_consolidation,22.18,0.0,1995-05-01,19.0,0.0,669,665,28827,92.0
76341827,6000, 36 months,10.7,195.73,B,3 years,MORTGAGE,68000.0,Not Verified,other,22.8,0.0,2005-10-01,25.0,0.0,784,780,588,1.0
99243679,30000, 60 months,15.9,729.39,C,< 1 year,RENT,85000.0,Source Verified,debt_consolidation,17.15,0.0,2006-09-01,13.0,2.0,669,665,7576,60.0
1466116,14000, 36 months,8.0,444.55,A,6 years,MORTGAGE,88000.0,Not Verified,credit_card,12.37,0.0,1988-04-01,7.0,0.0,744,740,36252,37.0
88155524,4000, 36 months,13.4,135.73,C,< 1 year,OWN,60000.0,Source Verified,debt_consolidation,5.44,0.0,2007-01-01,6.0,0.0,669,665,4784,43.0
114139625,10000, 36 months,7.9,313.23,A,10+ years,MORTGAGE,70000.0,Source Verified,credit_card,26.97,1.0,2000-05-01,15.0,0.0,684,680,30721,56.0
111695213,4800, 36 months,10.4,155.84,B,2 years,MORTGAGE,110000.0,Source Verified,credit_card,17.01,0.0,2004-05-01,33.0,0.0,694,690,9703,25.0
36980114,28000, 36 months,11.4,922.53,B,10+ years,OWN,105000.0,Source Verified,debt_consolidation,24.87,0.0,1988-11-01,10.0,0.0,694,690,139812,67.0
129834869,6100, 36 months,13.5,207.25,C,4 years,MORTGAGE,35000.0,Source Verified,debt_consolidation,17.64,0.0,2010-01-01,7.0,0.0,674,670,3121,16.0
85921598,11200, 36 months,8.9,356.11,B,6 years,MORTGAGE,62000.0,Verified,debt_consolidation,20.6,1.0,2008-05-01,12.0,0.0,699,695,7619,16.0
20889295,12000, 60 months,16.2,293.67,D,3 years,MORTGAGE,50000.0,Source Verified,credit_card,31.66,0.0,2001-09-01,24.0,0.0,689,685,19648,45.0
36290352,35000, 60 months,24.0,1017.07,F,10+ years,MORTGAGE,75000.0,Verified,debt_consolidation,30.83,0.0,2002-03-01,9.0,0.0,709,705,26551,80.0
119199762,5000, 36 months,16.0,175.84,C,6 years,MORTGAGE,38000.0,Verified,other,30.26,0.0,2010-10-01,17.0,0.0,669,665,17467,57.0
63446744,3200, 36 months,11.5,105.57,B,10+ years,RENT,95000.0,Verified,debt_consolidation,32.75,0.0,1994-07-01,14.0,0.0,684,680,27392,89.0
46843572,10000, 60 months,16.5,246.12,D,10+ years,MORTGAGE,60000.0,Not Verified,debt_consolidation,11.42,1.0,2002-08-01,7.0,1.0,684,680,3774,49.0
81494013,32500, 36 months,21.4,1232.64,D,10+ years,RENT,65000.0,Source Verified,small_business,4.01,1.0,2004-12-01,12.0,0.0,669,665,9881,51.0
57892445,19000, 36 months,11.5,626.82,B,10+ years,MORTGAGE,55000.0,Source Verified,home_improvement,18.11,0.0,2001-11-01,10.0,0.0,719,715,5947,28.0
65904724,18000, 36 months,7.2,557.94,A,10+ years,MORTGAGE,70000.0,Not Verified,debt_consolidation,16.64,0.0,2003-10-01,8.0,0.0,709,705,18456,55.0
43195512,15300, 60 months,11.5,336.72,B,10+ years,MORTGAGE,54000.0,Not Verified,debt_consolidation,17.11,0.0,1991-05-01,19.0,0.0,709,705,19271,44.0
93177284,35000, 36 months,22.7,1350.11,E,8 years,RENT,95000.0,Source Verified,debt_consolidation,25.73,0.0,2013-08-01,17.0,0.0,694,690,28331,45.0
98377145,9800, 36 months,10.4,318.48,B,1 year,RENT,60000.0,Source Verified,credit_card,30.22,0.0,2007-05-01,9.0,0.0,694,690,6564,88.0
38559562,8400, 36 months,9.4,269.04,B,2 years,MORTGAGE,100000.0,Not Verified,credit_card,14.67,0.0,2004-11-01,21.0,0.0,684,680,15448,63.0
57154733,20000, 36 months,10.9,654.68,B,< 1 year,RENT,190000.0,Not Verified,major_purchase,13.41,0.0,2006-02-01,11.0,0.0,739,735,30379,69.0
51876197,12000, 60 months,14.6,283.28,C,8 years,MORTGAGE,65000.0,Source Verified,debt_consolidation,6.74,0.0,1980-01-01,6.0,0.0,689,685,6099,35.0
65866135,15000, 36 months,10.6,488.53,B,< 1 year,RENT,120000.0,Source Verified,debt_consolidation,3.92,0.0,2007-11-01,7.0,0.0,704,700,15590,36.0
76224668,11000, 60 months,19.9,291.38,E,4 years,MORTGAGE,50000.0,Not Verified,credit_card,20.25,0.0,2011-08-01,8.0,0.0,714,710,12731,35.0
61622446,27000, 60 months,17.5,679.33,D,10+ years,RENT,65000.0,Source Verified,debt_consolidation,23.52,0.0,2000-11-01,8.0,0.0,714,710,20058,93.0
5798798,14000, 36 months,10.1,452.8,B,3 years,MORTGAGE,50000.0,Not Verified,credit_card,26.84,0.0,2002-07-01,18.0,0.0,694,690,14800,56.0
1281898,20000, 60 months,16.2,489.45,C,8 years,MORTGAGE,100000.0,Verified,debt_consolidation,15.22,0.0,1997-02-01,9.0,0.0,714,710,18430,73.0
92349849,7200, 36 months,12.7,241.7,C,7 years,OWN,60000.0,Source Verified,debt_consolidation,16.18,0.0,1998-09-01,11.0,0.0,684,680,22025,65.0
110259505,36000, 60 months,9.4,755.02,B,10+ years,MORTGAGE,140000.0,Not Verified,debt_consolidation,10.83,0.0,1993-09-01,14.0,0.0,744,740,30275,41.0
50839408,8000, 36 months,16.9,285.19,D,8 years,RENT,73000.0,Verified,debt_consolidation,21.35,0.0,2006-07-01,9.0,0.0,724,720,9425,41.0
12937570,13000, 60 months,25.8,388.38,G,3 years,MORTGAGE,103800.0,Verified,medical,17.06,0.0,1995-10-01,6.0,0.0,664,660,10818,88.0
26539427,16750, 60 months,22.9,472.1,F,2 years,MORTGAGE,42000.0,Not Verified,debt_consolidation,33.23,2.0,2007-10-01,22.0,0.0,664,660,20822,76.0
8805433,12000, 60 months,15.6,289.34,C,10+ years,MORTGAGE,50000.0,Verified,debt_consolidation,28.52,0.0,1991-08-01,20.0,0.0,674,670,11666,53.0
66603138,12000, 36 months,11.2,394.12,B,3 years,RENT,40000.0,Not Verified,debt_consolidation,32.39,2.0,2001-11-01,18.0,0.0,674,670,15500,37.0
51296885,8000, 36 months,13.9,273.39,C,,MORTGAGE,66000.0,Verified,home_improvement,14.8,0.0,1995-10-01,19.0,2.0,669,665,12877,65.0
84997132,35000, 60 months,12.7,792.61,C,3 years,RENT,115000.0,Verified,debt_consolidation,15.84,0.0,2005-02-01,9.0,0.0,774,770,0,0.0
38988172,10775, 36 months,14.3,369.89,C,3 years,OWN,30000.0,Not Verified,debt_consolidation,11.8,0.0,2007-02-01,15.0,0.0,684,680,10563,88.0
113617297,8000, 36 months,19.0,293.37,D,3 years,RENT,32000.0,Source Verified,credit_card,9.15,0.0,2014-03-01,4.0,0.0,679,675,8075,74.0
121452845,6000, 36 months,7.0,185.46,A,,MORTGAGE,30000.0,Verified,other,28.11,0.0,1976-02-01,15.0,0.0,839,835,1587,3.0
2944699,24000, 36 months,11.1,787.33,B,< 1 year,RENT,86000.0,Verified,debt_consolidation,18.28,0.0,1984-05-01,11.0,0.0,719,715,7806,47.0
121290594,4800, 36 months,7.2,148.68,A,3 years,MORTGAGE,50000.0,Verified,other,2.76,0.0,2005-08-01,8.0,0.0,709,705,0,0.0
7446548,12000, 36 months,10.9,392.81,B,10+ years,MORTGAGE,80000.0,Not Verified,debt_consolidation,5.22,0.0,2002-05-01,6.0,1.0,689,685,9306,55.0
129403840,23500, 60 months,18.4,602.52,D,4 years,MORTGAGE,70000.0,Verified,debt_consolidation,16.12,1.0,2005-03-01,10.0,1.0,699,695,13676,42.0
65353837,35000, 60 months,13.1,799.59,C,10+ years,MORTGAGE,110000.0,Source Verified,debt_consolidation,10.53,0.0,1990-06-01,18.0,0.0,734,730,38923,46.0
46305165,28000, 36 months,7.8,876.0,A,3 years,RENT,120000.0,Source Verified,credit_card,16.71,0.0,1998-05-01,12.0,0.0,694,690,34499,54.0
73945080,14000, 36 months,14.4,481.63,C,3 years,MORTGAGE,100880.0,Source Verified,debt_consolidation,14.7,0.0,2001-06-01,14.0,0.0,684,680,31880,82.0
47592447,28800, 60 months,19.5,755.36,E,10+ years,MORTGAGE,91000.0,Verified,debt_consolidation,21.23,0.0,2003-07-01,36.0,0.0,694,690,31387,34.0
19616285,35000, 60 months,20.0,931.19,E,10+ years,MORTGAGE,152000.0,Source Verified,debt_consolidation,22.49,0.0,1988-11-01,20.0,1.0,669,665,33931,75.0
48294222,30000, 36 months,6.6,921.93,A,9 years,MORTGAGE,125000.0,Verified,debt_consolidation,8.31,0.0,1997-05-01,10.0,0.0,764,760,3952,14.0
114488177,4000, 36 months,12.6,134.05,C,3 years,RENT,20000.0,Source Verified,credit_card,7.74,0.0,1997-11-01,6.0,0.0,664,660,3610,48.0
11436801,16250, 36 months,20.0,608.06,E,10+ years,RENT,90000.0,Verified,other,31.95,0.0,2000-11-01,13.0,1.0,669,665,4756,48.0
11384784,6000, 36 months,7.6,186.97,A,9 years,MORTGAGE,43000.0,Not Verified,credit_card,10.91,0.0,1999-08-01,5.0,0.0,689,685,2901,59.0
83729871,35000, 36 months,19.9,1300.55,D,10+ years,OWN,280000.0,Source Verified,debt_consolidation,7.46,0.0,2005-12-01,4.0,0.0,679,675,5968,99.0
16361735,10500, 60 months,18.2,268.01,D,2 years,OWN,24000.0,Source Verified,debt_consolidation,33.5,0.0,2002-09-01,11.0,0.0,709,705,7234,61.0
92105808,40000, 36 months,10.4,1299.91,B,5 years,MORTGAGE,150000.0,Verified,debt_consolidation,16.02,1.0,1984-10-01,7.0,0.0,694,690,13413,34.0
12326488,14500, 36 months,13.6,493.12,C,8 years,MORTGAGE,55000.0,Verified,debt_consolidation,22.32,0.0,2001-08-01,11.0,0.0,714,710,22411,83.0
28803156,25000, 60 months,11.6,551.96,B,2 years,MORTGAGE,70000.0,Source Verified,credit_card,18.55,0.0,1999-09-01,13.0,0.0,724,720,13806,31.0
66026548,12000, 36 months,6.8,369.93,A,2 years,RENT,56000.0,Verified,debt_consolidation,20.83,0.0,2001-07-01,15.0,0.0,734,730,6022,9.0
113040629,9000, 36 months,12.6,301.61,C,10+ years,RENT,46000.0,Source Verified,debt_consolidation,8.82,0.0,2003-03-01,8.0,0.0,689,685,7318,49.0
86553349,2000, 36 months,17.9,72.3,D,4 years,MORTGAGE,55000.0,Not Verified,credit_card,30.98,0.0,1989-07-01,16.0,1.0,674,670,15429,45.0
83624502,10000, 36 months,11.4,329.72,B,3 years,RENT,38000.0,Not Verified,debt_consolidation,16.65,0.0,1999-04-01,20.0,1.0,669,665,6902,21.0
84719981,4000, 36 months,8.5,126.44,A,3 years,MORTGAGE,60000.0,Not Verified,major_purchase,17.54,0.0,2009-06-01,10.0,0.0,739,735,8594,62.0
1240261,8000, 36 months,17.9,289.18,D,< 1 year,RENT,65000.0,Source Verified,car,7.87,0.0,2006-08-01,16.0,0.0,664,660,7261,68.0
54127304,7500, 36 months,11.5,247.43,B,1 year,RENT,40000.0,Verified,credit_card,9.3,0.0,2003-06-01,16.0,1.0,669,665,7277,29.0
756260,4000, 60 months,13.9,93.06,C,2 years,RENT,21996.0,Source Verified,other,0.55,0.0,2007-02-01,3.0,0.0,749,745,448,17.0
119696586,17500, 60 months,15.0,416.79,C,3 years,OWN,44575.0,Not Verified,credit_card,25.66,0.0,2005-06-01,31.0,0.0,704,700,15446,32.0
94065438,13000, 36 months,6.9,401.35,A,1 year,RENT,120000.0,Source Verified,medical,19.15,0.0,2002-10-01,14.0,0.0,724,720,12952,31.0
5336102,14000, 36 months,13.1,472.46,B,10+ years,MORTGAGE,110000.0,Not Verified,debt_consolidation,8.57,1.0,2001-01-01,11.0,0.0,674,670,17980,58.0
1111980,28000, 36 months,15.3,974.89,C,5 years,MORTGAGE,95000.0,Source Verified,debt_consolidation,2.89,0.0,1997-03-01,8.0,0.0,719,715,10258,24.0
70701575,28000, 36 months,7.3,869.57,A,10+ years,MORTGAGE,100000.0,Not Verified,debt_consolidation,22.5,0.0,2000-04-01,12.0,0.0,749,745,21026,56.0
91564330,31000, 36 months,8.2,974.87,B,6 years,MORTGAGE,145000.0,Verified,debt_consolidation,17.87,0.0,2005-06-01,18.0,0.0,724,720,19161,33.0
65915408,4000, 36 months,12.5,133.99,C,,MORTGAGE,46233.0,Source Verified,medical,23.36,0.0,1996-05-01,13.0,0.0,694,690,18839,87.0
34994586,25000, 36 months,7.4,777.55,A,10+ years,MORTGAGE,105000.0,Source Verified,debt_consolidation,15.54,0.0,1994-07-01,15.0,0.0,749,745,22800,51.0
44439792,10000, 36 months,14.6,344.95,C,10+ years,OWN,84500.0,Verified,home_improvement,28.72,0.0,2009-05-01,13.0,2.0,694,690,1754,28.0
28623307,17875, 60 months,18.9,463.59,E,10+ years,MORTGAGE,92000.0,Verified,debt_consolidation,21.58,0.0,2001-09-01,9.0,0.0,664,660,50300,98.0
69612521,7675, 36 months,14.4,264.04,C,8 years,RENT,32000.0,Source Verified,debt_consolidation,21.68,0.0,2000-04-01,6.0,2.0,664,660,6527,87.0
110790784,6000, 36 months,16.0,211.01,C,2 years,OWN,30000.0,Source Verified,other,25.04,2.0,1997-07-01,7.0,0.0,674,670,4478,31.0
112719520,15000, 36 months,16.0,527.51,C,4 years,MORTGAGE,76000.0,Verified,home_improvement,20.12,0.0,2003-08-01,20.0,0.0,674,670,41997,47.0
59162503,12000, 36 months,8.1,377.04,B,10+ years,RENT,40000.0,Not Verified,debt_consolidation,22.95,0.0,2000-03-01,12.0,1.0,709,705,8539,41.0
57378501,16500, 36 months,6.2,503.76,A,2 years,MORTGAGE,57100.0,Not Verified,credit_card,10.68,0.0,1997-01-01,28.0,0.0,714,710,21247,25.0
42571396,3325, 36 months,16.5,117.81,D,2 years,MORTGAGE,50000.0,Verified,home_improvement,15.43,0.0,2005-09-01,22.0,0.0,714,710,1354,32.0
110790595,12000, 60 months,16.0,291.95,C,7 years,MORTGAGE,50400.0,Verified,debt_consolidation,31.33,0.0,2007-03-01,17.0,0.0,729,725,20157,41.0
4528491,5500, 36 months,21.9,210.0,E,< 1 year,MORTGAGE,35000.0,Source Verified,other,16.22,0.0,1994-09-01,9.0,0.0,709,705,6390,44.0
104040864,19650, 36 months,19.9,730.17,D,,MORTGAGE,40000.0,Verified,debt_consolidation,27.12,0.0,2006-04-01,10.0,1.0,669,665,12600,60.0
1315625,5150, 36 months,10.7,167.98,B,3 years,MORTGAGE,24000.0,Not Verified,debt_consolidation,20.7,0.0,1997-12-01,6.0,0.0,689,685,2522,57.0
22473982,6600, 36 months,12.4,220.77,B,1 year,RENT,38000.0,Source Verified,debt_consolidation,21.23,0.0,2006-10-01,8.0,1.0,704,700,4505,27.0
119995245,15000, 36 months,15.0,520.35,C,3 years,RENT,85000.0,Source Verified,debt_consolidation,19.5,2.0,2008-03-01,8.0,0.0,669,665,12330,44.0
121342267,3000, 36 months,9.4,96.02,B,,MORTGAGE,25000.0,Not Verified,home_improvement,31.74,0.0,1989-12-01,10.0,0.0,694,690,7379,31.0
47907123,10000, 36 months,12.2,333.53,C,7 years,RENT,55000.0,Not Verified,credit_card,21.95,0.0,2002-11-01,15.0,0.0,674,670,15762,81.0
58400682,12000, 36 months,17.5,431.25,D,1 year,MORTGAGE,76000.0,Source Verified,credit_card,31.01,0.0,1991-01-01,13.0,0.0,699,695,42565,91.0
3366607,10000, 36 months,10.1,323.43,B,10+ years,MORTGAGE,110000.0,Not Verified,debt_consolidation,5.18,0.0,1993-12-01,11.0,0.0,714,710,20077,36.0
46786151,5400, 36 months,12.2,180.11,C,10+ years,RENT,43000.0,Verified,debt_consolidation,13.01,2.0,2002-07-01,7.0,0.0,674,670,2344,45.0
73763891,11200, 60 months,18.2,285.94,D,10+ years,MORTGAGE,100000.0,Not Verified,debt_consolidation,23.71,0.0,2001-11-01,11.0,0.0,679,675,14755,70.0
42181632,21000, 36 months,12.6,704.45,C,2 years,MORTGAGE,150000.0,Verified,debt_consolidation,29.22,0.0,1994-03-01,18.0,0.0,689,685,89366,89.0
36530685,20000, 36 months,12.9,673.79,C,2 years,MORTGAGE,71000.0,Source Verified,credit_card,28.6,0.0,1995-08-01,16.0,0.0,719,715,30873,79.0
6515335,6075, 36 months,17.5,218.29,D,1 year,RENT,21600.0,Not Verified,debt_consolidation,12.44,0.0,2008-02-01,5.0,0.0,679,675,7089,66.0
8981176,15900, 36 months,17.0,567.68,C,1 year,MORTGAGE,60000.0,Verified,debt_consolidation,18.53,0.0,1997-05-01,10.0,0.0,714,710,40398,68.0
38434778,14000, 36 months,7.4,435.43,A,4 years,MORTGAGE,45000.0,Not Verified,debt_consolidation,19.28,0.0,1998-09-01,9.0,1.0,684,680,2572,21.0
69362095,20000, 60 months,14.8,474.23,C,,MORTGAGE,50800.0,Not Verified,debt_consolidation,33.85,1.0,1966-04-01,17.0,0.0,674,670,23104,28.0
106212089,15600, 36 months,22.7,601.76,E,< 1 year,OWN,31200.0,Verified,debt_consolidation,7.0,0.0,2007-03-01,8.0,0.0,694,690,7423,40.0
60903190,10000, 36 months,14.6,344.95,C,8 years,MORTGAGE,75000.0,Source Verified,debt_consolidation,15.89,2.0,2002-08-01,7.0,0.0,674,670,1047,80.0
119238606,25000, 36 months,7.2,774.34,A,2 years,OWN,90000.0,Verified,debt_consolidation,17.26,0.0,1989-11-01,8.0,0.0,709,705,17006,30.0
70792424,30000, 36 months,6.9,925.91,A,10+ years,OWN,157000.0,Source Verified,credit_card,10.12,0.0,1998-11-01,11.0,0.0,749,745,33403,46.0
6597571,11500, 36 months,9.7,369.51,B,,RENT,75892.0,Verified,debt_consolidation,27.6,0.0,1999-12-01,14.0,0.0,704,700,23573,47.0
69922771,14400, 36 months,12.8,484.37,C,4 years,RENT,85000.0,Not Verified,credit_card,15.5,0.0,2002-04-01,14.0,1.0,664,660,17879,60.0
64320596,12000, 60 months,13.6,277.18,C,2 years,RENT,48000.0,Verified,debt_consolidation,13.43,0.0,1996-02-01,6.0,1.0,669,665,5190,37.0
87074395,16000, 60 months,13.4,368.08,C,6 years,MORTGAGE,135000.0,Not Verified,home_improvement,28.11,0.0,2001-06-01,17.0,0.0,664,660,7935,21.0
74695844,12900, 60 months,21.1,350.3,E,3 years,RENT,38000.0,Verified,debt_consolidation,22.96,0.0,2001-12-01,13.0,0.0,704,700,34701,71.0
7094483,21000, 36 months,7.6,654.39,A,5 years,MORTGAGE,99000.0,Source Verified,debt_consolidation,19.75,0.0,2000-02-01,17.0,0.0,724,720,38132,60.0
1605226,5800, 36 months,13.1,195.74,B,,MORTGAGE,33228.0,Verified,debt_consolidation,6.54,0.0,2003-08-01,7.0,0.0,689,685,5447,27.0
63454406,10000, 36 months,13.3,338.54,C,10+ years,MORTGAGE,65000.0,Not Verified,debt_consolidation,30.78,1.0,1990-01-01,10.0,0.0,684,680,62848,90.0
1061975,12000, 36 months,16.7,426.47,D,10+ years,MORTGAGE,93000.0,Not Verified,credit_card,13.46,0.0,1999-02-01,12.0,0.0,669,665,23691,92.0
14610705,3650, 36 months,12.9,122.97,B,1 year,RENT,45000.0,Not Verified,debt_consolidation,14.0,2.0,2006-06-01,8.0,0.0,669,665,3652,58.0
67416572,16000, 36 months,9.1,510.07,B,3 years,RENT,75000.0,Source Verified,credit_card,11.47,0.0,2010-06-01,9.0,0.0,664,660,14109,87.0
15489909,15000, 36 months,10.9,491.01,B,4 years,MORTGAGE,75000.0,Verified,home_improvement,19.9,0.0,2004-03-01,14.0,0.0,724,720,22942,57.0
67255813,4750, 36 months,24.2,186.96,F,< 1 year,RENT,13200.0,Verified,debt_consolidation,22.64,0.0,2010-03-01,14.0,0.0,669,665,5680,61.0
