age,income_band,region,tenure_months,prior_purchases,web_visits_30d,prior_campaign_response,credit_score_band,premium_support_calls_30d,welcome_email_click,first_month_usage_minutes,lead_id,signup_30d
43.6,2,West,9.2,1,7,0,3,0,0,0.0,28048,0
56.9,2,South,8.2,1,3,0,1,0,0,0.0,34760,0
26.5,2,Midwest,8.7,0,1,0,2,0,0,0.0,1066,0
24.7,4,Midwest,13.7,0,5,1,2,0,0,0.0,6381,0
29.2,2,North,7.9,0,5,0,2,0,0,0.0,34318,0
27.5,1,Midwest,1.0,3,6,1,2,0,0,0.0,18852,0
63.4,2,West,6.4,2,5,0,2,0,0,0.0,24675,0
26.7,1,West,22.9,2,5,0,2,0,0,0.0,22171,0
47.5,1,West,50.8,2,11,1,2,0,0,0.0,34321,0
31.7,3,South,38.4,2,3,0,2,0,0,0.0,12232,0
45.8,1,South,63.9,2,11,0,2,0,0,0.0,8347,0
39.0,2,Midwest,39.3,0,6,0,2,0,0,0.0,16255,0
33.8,3,West,10.6,1,6,0,2,2,1,84.1,39934,1
26.9,4,South,3.6,1,4,0,2,0,0,0.0,37921,0
39.0,1,South,5.7,2,7,0,3,0,0,0.0,17176,0
46.7,3,South,75.6,1,4,0,3,3,1,37.5,38085,1
40.5,1,West,6.8,0,5,0,2,0,0,0.0,12601,0
40.2,2,South,18.9,2,3,0,2,0,0,0.0,8945,0
23.1,3,West,30.2,6,4,1,2,0,0,0.0,1047,0
43.7,2,West,59.9,2,2,0,1,0,0,0.0,34020,0
26.0,2,Midwest,13.6,3,4,0,2,0,0,0.0,21599,0
56.5,3,North,11.3,1,8,1,2,0,0,0.0,6311,0
36.1,2,West,14.0,0,3,0,2,0,0,0.0,33947,0
44.2,2,South,51.6,0,8,0,2,0,0,0.0,11097,0
30.0,1,North,21.8,1,7,0,2,0,0,0.0,27437,0
62.8,4,North,4.2,2,5,0,2,0,0,0.0,34072,0
40.0,1,North,3.6,2,1,0,3,0,0,0.0,13247,0
34.6,2,West,58.9,3,5,0,2,4,1,134.8,39784,1
22.0,2,Midwest,7.3,2,7,0,1,0,0,0.0,30267,0
45.7,4,South,28.4,1,4,0,1,0,0,0.0,31871,0
18.0,3,North,13.7,1,1,0,3,0,0,0.0,35724,0
32.8,2,West,15.8,3,4,0,1,0,0,0.0,15075,0
56.0,2,Midwest,1.7,4,5,0,1,0,0,0.0,893,0
35.6,4,West,1.0,0,7,1,3,0,0,0.0,10901,0
34.0,2,Midwest,2.3,1,2,0,2,0,0,0.0,33389,0
30.4,2,West,8.3,1,7,0,3,0,0,0.0,28592,0
30.9,1,Midwest,4.3,0,4,0,2,0,0,0.0,23199,0
39.0,1,South,14.3,0,6,0,3,0,0,0.0,25593,0
18.0,1,West,37.8,1,6,0,3,0,0,0.0,1956,0
19.3,1,North,7.6,4,0,1,2,0,0,0.0,3967,0
55.6,3,Midwest,53.2,1,3,1,2,0,0,0.0,29863,0
50.7,3,North,70.9,2,8,0,2,0,0,0.0,9069,0
33.7,1,South,1.6,1,8,1,2,0,0,0.0,10836,0
41.8,3,South,35.8,2,4,0,3,0,0,0.0,29443,0
49.5,3,Midwest,71.4,0,6,0,3,0,0,0.0,21956,0
41.6,3,North,2.1,2,2,1,2,0,0,0.0,38261,0
45.7,2,West,39.3,0,4,0,1,0,0,0.0,17649,0
62.1,2,Midwest,15.6,1,4,0,1,0,0,0.0,31394,0
31.4,1,North,34.0,0,6,0,2,0,0,0.0,34915,0
46.3,2,South,57.3,4,7,0,1,0,0,0.0,4185,0
31.6,1,Midwest,11.1,1,6,0,1,0,0,0.0,26557,0
42.6,2,West,65.4,4,12,0,2,0,0,0.0,24677,0
41.9,3,South,6.9,2,3,0,2,0,0,0.0,19848,0
34.5,2,Midwest,19.0,3,3,0,2,0,0,0.0,1050,0
65.4,4,North,4.4,2,4,0,3,0,0,62.3,11737,1
34.9,4,West,9.3,1,4,1,2,1,1,61.9,506,1
61.9,2,West,50.0,1,4,0,1,0,0,0.0,23013,0
24.2,2,North,39.3,0,6,0,2,0,0,0.0,31010,0
27.4,4,West,29.6,6,3,0,2,0,0,0.0,37955,0
33.8,2,North,18.0,3,4,0,2,0,0,0.0,25128,0
57.1,4,North,22.1,2,2,0,2,0,0,0.0,31217,0
67.0,1,West,4.6,0,4,0,2,0,0,0.0,5493,0
18.0,4,West,93.1,3,6,0,3,0,0,0.0,2715,0
24.9,1,North,81.1,2,1,1,1,0,0,0.0,23326,0
28.4,4,South,9.3,2,6,0,1,0,0,0.0,18877,0
68.6,4,Midwest,13.9,1,6,0,3,0,0,0.0,30646,0
31.8,2,Midwest,17.9,1,7,0,1,0,0,0.0,10685,0
31.7,2,South,9.7,1,4,0,2,0,0,0.0,28329,0
48.0,1,South,60.6,0,6,0,2,2,0,199.2,2162,1
23.1,1,South,20.2,2,5,0,2,0,0,0.0,18526,0
41.3,2,West,9.2,2,5,0,2,0,0,0.0,4547,0
52.1,3,Midwest,42.2,2,3,1,2,0,0,0.0,6388,0
51.6,2,Midwest,1.8,2,5,0,3,0,0,0.0,26740,0
26.2,3,West,9.1,1,6,0,2,0,0,0.0,13648,0
75.0,1,North,6.3,5,3,0,2,0,0,0.0,39838,0
44.0,3,Midwest,34.4,1,4,0,1,0,0,0.0,10128,0
45.6,1,North,1.0,3,5,0,2,0,0,0.0,10981,0
28.7,1,West,10.0,2,2,0,2,0,0,0.0,9243,0
43.4,2,West,54.5,2,8,0,3,0,0,0.0,33833,0
29.6,4,South,7.9,2,6,0,1,0,0,0.0,5458,0
32.4,1,Midwest,113.2,1,3,0,2,0,0,0.0,22392,0
64.8,2,North,3.4,3,6,0,3,0,0,0.0,1707,0
42.5,1,Midwest,7.8,2,2,0,3,0,0,0.0,17546,0
32.6,3,Midwest,52.8,2,3,0,3,1,0,186.6,33601,1
42.4,1,Midwest,108.1,2,0,0,1,0,0,0.0,33028,0
54.2,3,North,11.3,3,5,0,2,0,0,0.0,13078,0
21.6,4,South,55.1,3,5,0,2,0,0,0.0,23361,0
45.8,2,Midwest,1.0,0,6,0,2,0,0,0.0,20856,0
46.7,3,North,42.7,0,5,0,1,0,0,0.0,1277,0
61.6,1,South,2.1,1,3,1,1,0,0,0.0,11863,0
50.8,2,Midwest,62.5,3,4,0,2,0,0,0.0,20474,0
43.9,2,West,104.5,1,4,0,2,0,0,0.0,21890,0
63.7,1,South,10.8,1,2,1,3,0,0,0.0,22414,0
29.4,3,West,8.4,1,3,0,1,0,0,0.0,31338,0
39.4,2,South,5.9,2,4,0,1,0,0,0.0,3491,0
41.5,4,West,14.5,1,3,0,2,0,0,0.0,36741,0
63.6,3,West,11.0,2,2,0,1,0,0,0.0,13692,0
41.1,3,North,3.6,0,5,1,3,2,1,102.1,23713,1
21.3,2,West,4.5,2,4,0,2,0,0,0.0,28726,0
61.1,3,West,5.6,4,4,0,2,0,0,0.0,30958,0
40.4,2,South,14.6,0,8,0,1,0,0,0.0,16715,0
32.3,1,South,18.2,0,1,0,2,0,0,0.0,37077,0
40.0,4,Midwest,3.1,4,6,0,2,0,0,0.0,14450,0
35.5,1,South,66.3,4,8,0,2,0,0,0.0,5354,0
40.7,1,South,67.2,2,8,1,3,1,1,266.5,6319,1
44.0,1,Midwest,21.3,1,4,0,2,0,0,0.0,9777,0
34.9,1,Midwest,19.9,0,1,0,1,0,0,0.0,13624,0
31.5,1,North,14.1,0,7,0,3,0,0,0.0,15717,0
29.7,1,Midwest,6.4,1,7,0,1,0,0,0.0,21231,0
40.7,3,North,17.9,4,3,0,2,0,0,0.0,20159,0
25.7,2,West,87.4,1,6,0,1,1,1,158.2,37736,1
43.4,2,South,35.0,2,5,1,2,4,0,165.8,39815,1
44.8,3,Midwest,10.9,3,10,0,3,3,1,65.2,8369,1
40.3,2,Midwest,3.1,0,2,0,3,0,1,97.5,28349,1
48.9,3,South,7.1,2,4,0,3,0,0,0.0,9126,0
49.3,1,South,36.8,2,3,1,3,3,0,123.8,30453,1
30.1,4,North,15.5,5,9,0,3,0,0,0.0,13068,0
63.0,1,West,10.6,1,6,0,3,0,0,0.0,2440,0
35.3,3,South,3.5,2,5,0,1,0,0,0.0,5379,0
36.5,2,Midwest,27.4,1,8,0,2,0,0,0.0,4286,0
41.6,2,South,34.1,1,4,0,3,0,0,0.0,36228,0
64.5,1,West,15.7,0,6,0,2,0,0,0.0,37051,0
61.5,2,North,7.2,1,7,1,1,0,0,0.0,1239,0
51.4,3,West,22.2,2,6,0,3,0,0,0.0,37664,0
57.6,1,West,36.7,1,3,0,2,0,0,0.0,14888,0
44.8,3,North,1.0,1,6,0,2,0,0,0.0,8085,0
28.7,2,West,1.7,3,3,0,1,0,0,0.0,2852,0
37.3,3,South,44.2,2,4,0,2,0,0,0.0,17539,0
50.4,2,South,13.5,2,2,0,2,0,0,0.0,29364,0
48.6,2,Midwest,68.3,2,6,0,2,0,0,0.0,4483,0
41.9,2,West,55.1,2,6,0,2,0,0,0.0,9967,0
30.3,1,Midwest,29.8,3,4,0,1,0,0,0.0,2031,0
28.5,1,South,1.0,3,1,0,2,0,0,0.0,29613,0
60.5,3,North,6.4,2,6,0,2,0,0,0.0,13861,0
36.2,1,North,64.0,0,9,0,2,0,0,0.0,25486,0
35.5,1,North,23.8,0,7,0,3,0,0,0.0,34583,0
48.8,4,West,3.4,0,12,0,3,0,0,0.0,25240,0
44.0,2,Midwest,22.9,2,9,0,1,0,0,0.0,39359,0
43.1,2,West,48.5,1,8,0,2,0,0,0.0,23789,0
43.8,2,South,40.6,1,5,0,2,0,0,0.0,24530,0
35.2,2,North,11.6,1,3,0,3,0,0,0.0,14411,0
39.6,3,West,12.7,3,3,0,1,0,0,0.0,21365,0
54.3,3,Midwest,3.2,0,9,1,1,0,0,0.0,7306,0
26.5,1,West,3.8,2,6,0,2,0,0,0.0,4928,0
44.9,2,Midwest,120.0,1,5,0,2,0,0,0.0,31182,0
27.5,3,North,24.4,0,4,1,2,0,0,0.0,19159,0
52.9,2,North,1.0,1,4,0,2,0,0,0.0,6276,0
43.7,2,South,17.0,2,8,0,1,0,0,0.0,35327,0
31.6,3,South,24.5,0,4,0,2,0,0,0.0,34673,0
28.6,2,Midwest,16.4,4,5,0,1,0,0,0.0,7225,0
38.2,3,South,3.4,1,5,0,1,0,0,0.0,1273,0
46.7,2,North,9.6,1,4,0,2,0,0,0.0,38762,0
35.0,1,South,68.3,1,2,1,2,0,0,0.0,10288,0
29.2,4,South,16.9,0,5,0,1,3,0,106.2,12570,1
58.1,2,South,41.4,2,5,0,1,0,0,0.0,22704,0
41.7,2,Midwest,27.1,2,4,0,1,0,0,0.0,33862,0
39.8,3,North,1.0,3,8,0,2,0,0,0.0,32336,0
38.3,4,Midwest,18.7,0,2,0,3,0,0,0.0,35809,0
47.2,2,West,3.4,0,3,0,3,0,0,0.0,36455,0
32.3,4,South,120.0,3,3,0,2,0,0,0.0,26273,0
46.8,4,West,37.4,1,5,0,3,5,0,107.4,34512,1
29.9,2,West,1.0,0,3,0,1,0,0,0.0,28405,0
46.0,1,North,33.0,2,4,0,2,0,0,0.0,29709,0
44.4,2,South,8.8,0,3,0,1,1,1,70.6,483,1
23.0,2,Midwest,7.6,1,4,0,3,0,0,0.0,12674,0
61.9,3,Midwest,6.5,2,4,0,2,0,0,0.0,15439,0
45.2,2,West,27.7,3,12,0,1,0,0,0.0,25939,0
26.2,1,West,51.5,1,6,0,2,0,0,0.0,13829,0
41.8,2,Midwest,3.3,1,8,0,1,0,0,0.0,18917,0
38.7,2,Midwest,79.7,1,5,0,2,0,0,0.0,10133,0
30.7,1,West,23.9,2,8,1,3,0,0,0.0,16380,0
42.5,2,South,63.0,2,7,0,2,0,0,0.0,35151,0
27.5,1,Midwest,108.5,0,2,0,1,0,0,0.0,30615,0
23.9,1,North,11.5,1,3,0,3,0,0,0.0,31087,0
49.1,1,West,23.6,0,3,1,1,0,0,0.0,19677,0
49.1,3,North,77.6,2,3,0,2,0,0,0.0,16812,0
54.9,2,Midwest,2.4,1,5,0,3,0,0,0.0,39906,0
34.7,1,North,34.5,2,7,0,3,0,0,0.0,28153,0
57.0,3,South,14.5,3,5,0,1,0,0,0.0,29210,0
36.3,3,West,5.8,0,7,0,2,0,0,0.0,25576,0
44.1,1,North,1.2,1,5,0,2,0,0,0.0,22221,0
47.6,1,West,30.4,1,3,0,2,0,0,0.0,3145,0
42.2,2,Midwest,12.5,0,6,1,1,1,1,86.1,15039,1
64.4,1,West,1.4,1,5,1,1,0,0,0.0,4226,0
47.1,2,South,6.1,1,6,0,2,0,0,0.0,5249,0
71.8,1,North,45.7,1,4,0,1,0,0,0.0,13614,0
54.8,4,South,16.2,1,4,0,2,0,0,0.0,13365,0
49.8,3,West,1.9,1,6,1,2,6,1,69.7,17213,1
53.0,3,Midwest,45.0,2,2,0,3,0,0,0.0,20675,0
66.5,3,North,31.2,1,5,0,2,0,0,0.0,32762,0
66.5,3,South,39.1,1,5,0,2,0,0,0.0,30460,0
60.0,3,West,29.5,1,5,0,1,0,0,0.0,38636,0
46.6,4,Midwest,3.3,2,5,0,1,0,0,0.0,30475,0
29.3,2,North,1.5,2,6,0,2,0,0,0.0,15158,0
51.3,2,Midwest,64.2,3,4,0,3,0,0,0.0,36525,0
46.9,1,North,5.5,1,5,1,3,0,0,0.0,1704,0
50.3,3,North,20.2,1,5,0,2,0,0,0.0,8621,0
51.8,1,North,6.4,2,6,0,2,0,0,0.0,19354,0
50.3,4,North,23.1,4,5,0,1,0,0,0.0,10851,0
18.0,1,North,1.0,1,4,0,2,0,0,0.0,11411,0
42.1,4,North,8.4,4,3,0,1,0,0,0.0,10419,0
65.1,2,South,37.3,1,8,1,1,0,0,0.0,15564,0
40.2,2,South,29.3,0,6,0,2,0,0,0.0,8939,0
68.5,2,South,40.6,1,12,0,3,3,1,43.2,1229,1
32.3,3,North,1.0,2,9,0,2,0,0,0.0,2166,0
31.8,1,South,7.1,3,3,0,1,0,0,0.0,6466,0
47.9,1,West,52.1,1,3,0,2,0,0,0.0,34885,0
49.9,1,South,21.4,1,5,0,1,0,0,0.0,27611,0
38.2,2,West,13.7,0,10,0,2,0,0,0.0,2310,0
25.9,2,North,42.1,1,6,0,1,0,0,0.0,28619,0
43.9,2,West,56.8,2,11,0,1,0,0,0.0,3871,0
52.5,2,South,4.3,0,6,1,2,0,0,0.0,22983,0
43.7,2,North,8.5,3,6,0,3,0,0,0.0,18384,0
65.5,3,West,7.3,3,5,0,2,0,0,0.0,12445,0
39.4,3,West,2.2,0,3,0,1,0,0,0.0,3863,0
31.7,2,South,55.5,2,3,0,2,0,0,0.0,33123,0
38.3,2,South,1.0,0,4,0,1,0,0,0.0,16693,0
38.6,3,North,80.9,3,6,1,2,0,0,0.0,6798,0
25.8,2,South,13.1,0,3,0,2,0,0,0.0,29435,0
62.0,1,South,17.2,2,7,0,2,0,0,0.0,34495,0
48.6,4,South,7.7,3,5,0,1,0,0,0.0,15787,0
30.0,3,South,65.5,1,8,0,2,0,0,0.0,13477,0
62.7,1,Midwest,5.4,1,4,0,2,0,0,0.0,23507,0
51.3,4,South,1.0,4,1,0,3,0,0,0.0,31582,0
72.1,1,North,23.8,3,5,1,1,0,0,0.0,8500,0
31.1,4,Midwest,20.7,2,1,0,2,0,0,0.0,529,0
45.0,4,West,47.6,1,5,0,1,0,0,0.0,3115,0
49.6,1,Midwest,13.8,0,5,0,2,0,0,0.0,23168,0
51.7,2,South,43.3,0,8,0,1,0,0,0.0,39331,0
63.5,3,Midwest,5.2,2,7,0,2,0,0,0.0,33481,0
32.0,2,Midwest,3.8,1,6,0,2,0,0,0.0,5773,0
30.4,3,Midwest,83.4,2,9,0,2,1,1,55.2,35675,1
37.2,3,Midwest,120.0,2,12,0,2,0,0,0.0,29844,0
48.4,2,South,12.3,2,7,1,2,0,0,0.0,22421,0
41.2,3,North,66.2,2,4,0,1,0,0,0.0,14580,0
35.3,1,Midwest,3.6,2,3,0,1,0,0,0.0,26237,0
32.8,1,North,5.3,2,4,0,2,0,0,0.0,833,0
56.1,1,Midwest,50.8,0,6,0,2,0,0,0.0,22915,0
25.4,3,North,1.0,2,4,0,2,0,0,0.0,6442,0
40.2,1,North,20.6,2,7,0,3,0,0,0.0,19123,0
44.7,4,West,8.2,0,3,0,2,0,0,0.0,22544,0
32.8,3,South,31.4,0,2,0,2,0,0,0.0,29466,0
30.6,3,North,2.3,4,6,0,2,0,0,0.0,11549,0
40.5,1,West,9.6,0,5,0,2,0,0,0.0,36597,0
37.3,2,Midwest,4.5,1,4,0,3,0,0,0.0,9143,0
28.7,3,Midwest,12.9,0,8,0,2,0,0,0.0,34765,0
34.3,4,West,1.0,1,3,1,2,0,0,0.0,7291,0
23.4,2,West,14.6,0,6,0,3,0,0,0.0,8477,0
59.4,3,West,12.6,1,4,1,1,0,0,0.0,37521,0
46.3,2,South,32.2,1,2,0,2,0,0,0.0,32951,0
56.3,1,West,9.3,3,5,0,3,0,0,0.0,15668,0
25.4,3,North,10.0,2,2,1,2,0,0,0.0,5120,0
27.5,2,North,1.0,2,6,0,1,0,0,0.0,1255,0
46.9,2,Midwest,1.0,2,3,0,1,0,0,0.0,7015,0
38.5,2,South,14.3,0,3,0,2,0,0,0.0,32460,0
24.6,2,South,73.9,0,5,0,3,0,0,0.0,2252,0
35.0,3,West,23.1,0,3,0,2,0,0,0.0,15918,0
45.8,4,West,5.9,2,6,0,3,0,0,0.0,6081,0
18.0,2,Midwest,17.5,0,5,0,1,0,0,0.0,33628,0
28.2,1,West,31.8,0,7,0,1,0,0,0.0,12977,0
32.2,3,West,2.1,4,5,0,1,0,0,0.0,16024,0
45.7,4,South,14.5,2,8,0,2,0,0,0.0,30753,0
67.9,1,West,60.2,2,5,0,1,0,0,0.0,31916,0
48.9,1,South,40.5,0,5,0,2,0,0,0.0,31145,0
18.9,2,South,31.1,2,3,0,2,0,0,0.0,10713,0
36.3,4,North,27.0,1,2,1,3,3,1,62.2,39687,1
18.0,2,South,3.4,3,7,0,3,0,0,0.0,12929,0
43.5,4,North,36.2,2,8,0,1,0,0,0.0,19984,0
54.8,3,West,19.9,3,3,0,1,0,0,0.0,35862,0
52.9,4,West,26.6,1,4,0,3,0,0,0.0,13311,0
44.5,4,South,7.9,0,3,0,2,0,0,0.0,26341,0
43.8,1,North,19.3,2,2,0,2,0,0,0.0,39023,0
53.5,3,West,13.1,3,8,0,2,0,0,0.0,25997,0
44.3,3,Midwest,86.9,1,6,0,3,0,0,0.0,36024,0
19.1,1,North,19.2,1,2,0,2,0,0,0.0,20100,0
37.7,2,South,3.7,1,4,1,3,0,0,0.0,27382,0
35.1,2,West,19.8,2,6,0,1,3,1,69.2,22861,1
50.7,2,South,10.6,2,7,0,2,0,0,0.0,34094,0
43.1,4,West,1.6,2,6,0,2,0,0,0.0,26461,0
37.3,3,West,7.4,2,6,0,3,0,0,0.0,9401,0
36.7,4,North,20.9,1,3,0,2,0,0,0.0,30879,0
32.1,1,South,14.4,3,7,0,2,0,0,0.0,4909,0
23.3,2,West,9.3,1,2,0,1,0,0,0.0,23219,0
64.8,1,West,38.6,0,4,0,2,0,0,0.0,17797,0
48.3,1,North,23.5,0,5,0,2,0,0,0.0,36270,0
35.0,3,Midwest,25.6,1,5,0,2,0,0,0.0,13028,0
36.0,3,North,36.8,1,3,0,3,0,0,0.0,28671,0
41.7,2,North,2.4,1,8,1,2,0,0,0.0,36900,0
49.8,1,West,37.8,1,6,0,1,0,0,0.0,2610,0
42.4,3,South,1.0,0,9,0,2,0,0,0.0,19700,0
37.8,2,West,4.0,1,7,0,2,0,0,0.0,31457,0
43.4,1,South,6.1,2,4,0,2,0,0,0.0,32478,0
57.0,1,South,1.0,3,7,1,1,0,0,0.0,35269,0
51.9,2,North,8.9,1,6,0,2,0,0,0.0,636,0
35.2,2,West,5.9,0,7,0,2,0,0,0.0,29071,0
37.9,1,West,5.0,1,7,0,3,0,0,0.0,19002,0
28.3,2,Midwest,52.4,1,9,0,2,0,0,0.0,19260,0
45.0,4,South,1.8,1,3,0,2,0,0,0.0,35204,0
55.6,2,South,111.5,1,6,1,3,0,0,0.0,33211,0
21.8,2,West,2.4,3,10,0,2,0,0,0.0,11375,0
39.9,1,Midwest,1.7,2,8,0,3,0,0,0.0,28164,0
62.0,4,West,9.3,2,6,0,3,0,0,0.0,9200,0
58.8,3,North,5.5,0,7,0,2,0,0,0.0,9342,0
18.0,4,South,7.5,3,6,0,1,1,1,138.5,2884,1
31.9,2,South,76.1,1,4,0,1,0,0,0.0,4482,0
49.5,4,South,26.3,2,5,0,2,0,0,0.0,36025,0
28.6,4,West,9.9,0,4,0,2,0,0,0.0,26830,0
45.2,3,South,22.4,1,5,0,2,0,0,0.0,4908,0
35.0,3,West,1.9,1,3,0,2,0,0,0.0,14041,0
45.0,2,North,22.9,2,3,1,2,0,0,0.0,10434,0
46.7,2,West,74.5,0,3,0,2,0,0,0.0,8335,0
18.6,2,North,39.0,2,5,0,2,0,0,0.0,285,0
52.4,1,North,39.5,1,5,0,1,0,0,0.0,24658,0
53.5,2,Midwest,60.2,1,2,1,1,0,0,0.0,373,0
38.5,1,North,87.6,1,6,0,3,0,0,0.0,23562,0
32.5,4,South,101.7,1,10,0,2,0,0,0.0,34021,0
51.2,1,West,28.3,0,4,0,2,0,0,0.0,28140,0
38.3,1,South,15.3,3,5,0,2,0,0,0.0,36041,0
32.0,2,West,40.6,1,5,0,1,0,0,0.0,23183,0
41.5,3,West,6.4,2,6,0,1,0,0,0.0,31143,0
39.4,1,West,17.8,2,6,0,3,0,0,0.0,12276,0
54.9,2,West,9.3,4,3,0,3,0,0,0.0,1798,0
62.0,2,North,7.6,1,6,0,2,0,0,0.0,39971,0
55.9,3,Midwest,79.5,2,3,0,2,0,0,0.0,22162,0
53.7,2,Midwest,19.9,4,5,0,1,0,0,0.0,18032,0
52.7,2,West,18.8,2,6,0,1,0,0,0.0,17828,0
18.0,1,South,27.1,1,4,0,2,0,0,0.0,30796,0
60.0,2,North,6.0,1,4,0,3,0,0,0.0,3530,0
37.2,2,South,3.9,3,2,1,2,0,0,0.0,3970,0
38.4,3,West,7.7,2,3,0,2,0,0,0.0,25999,0
45.7,3,West,54.6,0,9,0,1,0,0,0.0,8976,0
56.9,3,Midwest,59.5,0,5,0,1,0,0,0.0,37374,0
55.1,1,Midwest,16.3,3,6,0,1,0,0,0.0,32640,0
58.0,2,West,10.9,1,7,1,3,1,1,118.3,24505,1
40.7,3,North,1.8,2,4,0,3,0,0,0.0,18087,0
53.4,3,Midwest,5.1,3,4,0,1,0,0,0.0,24319,0
42.1,1,South,1.0,0,3,0,2,0,0,0.0,24806,0
27.9,4,North,23.1,1,7,0,2,0,0,0.0,24061,0
46.8,2,South,1.0,6,4,0,2,0,0,0.0,23579,0
54.9,1,West,25.5,1,6,0,2,0,0,0.0,21390,0
32.0,3,Midwest,40.6,0,2,0,3,0,0,0.0,12918,0
45.7,2,Midwest,18.7,3,3,0,2,0,0,0.0,8381,0
43.6,2,Midwest,3.2,2,5,0,2,0,0,0.0,34292,0
53.4,2,North,22.0,2,5,0,3,0,0,0.0,30243,0
32.1,2,West,17.6,3,8,0,1,0,0,0.0,26648,0
39.7,3,West,4.9,1,3,0,2,0,0,0.0,22211,0
49.1,2,Midwest,34.6,2,6,0,2,0,0,0.0,13199,0
35.4,2,West,28.4,0,4,0,2,0,0,0.0,37670,0
40.5,2,Midwest,10.9,2,5,0,1,0,0,0.0,11471,0
49.4,2,South,9.1,0,8,0,3,0,0,0.0,39820,0
45.7,2,South,7.2,2,6,0,2,0,0,0.0,18207,0
