id,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,open_acc,pub_rec,fico_range_high,fico_range_low,revol_bal,revol_util,total_pymnt,last_pymnt_d,recoveries,loan_length,term_num,ret_PESS
15782256,2000,2000, 36 months,16.2,70.61,D,< 1 year,RENT,40000.0,Source Verified,2014-05-01,Fully Paid,credit_card,11.31,0.0,2000-06-01,5.0,0.0,674,670,2062,93.0,2541.5342,2017-06-01,0.0,37.027454,36,9.02557
27690516,13000,13000, 36 months,6.4,398.38,A,10+ years,MORTGAGE,40000.0,Source Verified,2014-09-01,Fully Paid,credit_card,14.67,1.0,2000-01-01,7.0,0.0,669,665,7937,81.0,14341.596,2017-09-01,0.0,36.008953,36,3.4399889
94567038,10400,10400, 60 months,18.9,269.73,D,3 years,RENT,33000.0,Verified,2016-12-01,Charged Off,credit_card,28.14,1.0,1999-04-01,10.0,0.0,669,665,6826,32.0,3978.83,2017-10-01,1293.07,9.9878845,60,-12.348404
64008930,12000,12000, 36 months,14.3,412.06,C,,MORTGAGE,117148.0,Verified,2015-11-01,Charged Off,home_improvement,6.15,4.0,1991-08-01,12.0,0.0,664,660,8490,45.0,3090.31,2016-04-01,1049.12,4.9939423,36,-24.749138
7069064,17875,17875, 36 months,12.3,596.7,B,1 year,RENT,40000.0,Not Verified,2013-09-01,Fully Paid,credit_card,29.03,0.0,1995-12-01,16.0,0.0,704,700,21457,53.0,19657.61,2014-08-01,0.0,10.973532,36,3.3242135
15499996,12150,12150, 60 months,19.4,318.33,D,1 year,RENT,36000.0,Source Verified,2014-05-01,Fully Paid,vacation,15.23,0.0,2007-09-01,14.0,0.0,684,680,4344,28.0,15921.87,2016-04-01,0.0,23.031273,60,6.2088394
93532281,18000,18000, 60 months,14.9,428.13,C,10+ years,MORTGAGE,119000.0,Verified,2016-11-01,Fully Paid,debt_consolidation,10.97,1.0,1994-08-01,8.0,0.0,679,675,4703,47.0,22967.39,2018-12-01,0.0,24.969711,60,5.519323
888973,10000,10000, 36 months,6.0,304.36,A,1 year,RENT,121200.0,Verified,2011-09-01,Fully Paid,debt_consolidation,15.64,0.0,1999-08-01,8.0,0.0,789,785,7684,30.0,10956.776,2014-10-01,0.0,36.9946,36,3.1892545
18555883,25000,25000, 36 months,7.6,779.84,A,< 1 year,RENT,75000.0,Source Verified,2014-07-01,Fully Paid,credit_card,21.3,0.0,2003-08-01,15.0,0.0,709,705,28195,63.0,26407.96,2015-04-01,0.0,9.002238,36,1.8772812
97335263,1800,1800, 36 months,14.9,62.39,C,10+ years,RENT,40500.0,Source Verified,2017-02-01,Fully Paid,other,29.33,1.0,2000-09-01,5.0,0.0,664,660,12057,73.0,2090.5144,2018-05-01,0.0,14.916118,36,5.379896
142239924,21000,21000, 36 months,10.4,682.26,B,10+ years,RENT,120000.0,Verified,2018-10-01,Fully Paid,debt_consolidation,30.85,0.0,2007-02-01,12.0,1.0,714,710,3946,11.0,21128.252,2018-11-01,0.0,1.0185014,36,0.20357452
38596240,22950,22950, 60 months,14.9,545.86,C,7 years,MORTGAGE,48000.0,Source Verified,2015-01-01,Fully Paid,credit_card,30.3,0.0,2004-03-01,11.0,0.0,734,730,21090,60.0,25643.65,2015-11-01,0.0,9.9878845,60,2.3474078
7446477,5000,5000, 36 months,14.0,171.62,C,10+ years,MORTGAGE,135000.0,Verified,2013-09-01,Fully Paid,debt_consolidation,15.04,1.0,1997-11-01,9.0,1.0,674,670,4909,89.0,5695.78,2014-10-01,0.0,12.977679,36,4.638532
10404883,10000,10000, 36 months,10.9,327.34,B,3 years,MORTGAGE,50000.0,Source Verified,2014-01-01,Fully Paid,debt_consolidation,14.43,0.0,2002-09-01,9.0,0.0,674,670,10059,49.0,11707.27,2016-06-01,0.0,28.978008,36,5.6908984
64311463,5000,5000, 36 months,11.4,164.86,B,10+ years,RENT,55000.0,Source Verified,2015-11-01,Fully Paid,debt_consolidation,17.72,0.0,2000-03-01,7.0,0.0,674,670,3857,47.0,5325.01,2016-06-01,0.0,6.9980903,36,2.1667318
75193847,5000,5000, 36 months,14.4,172.01,C,3 years,MORTGAGE,50000.0,Verified,2016-03-01,Fully Paid,debt_consolidation,36.34,1.0,2002-02-01,20.0,0.0,744,740,4205,24.0,5236.14,2016-08-01,0.0,5.0267973,36,1.5742676
79114820,4000,4000, 36 months,19.9,148.64,D,2 years,MORTGAGE,14400.0,Verified,2016-05-01,Charged Off,debt_consolidation,39.75,0.0,2002-08-01,6.0,0.0,739,735,34698,79.0,2189.47,2017-05-01,410.23,11.992033,36,-15.0877495
114181536,24000,24000, 36 months,16.0,844.01,C,3 years,MORTGAGE,120000.0,Source Verified,2017-08-01,Charged Off,credit_card,31.49,0.0,1997-11-01,22.0,0.0,704,700,40850,66.0,4285.15,2018-01-01,86.46,5.0267973,36,-27.381737
46713270,10800,10800, 36 months,16.5,382.64,D,10+ years,OWN,30000.0,Source Verified,2015-04-01,Fully Paid,debt_consolidation,25.32,0.0,1993-08-01,10.0,0.0,709,705,14722,58.0,11925.47,2015-12-01,0.0,8.016592,36,3.473672
32319553,25200,25200, 60 months,17.5,634.04,D,5 years,RENT,60000.0,Source Verified,2014-10-01,Charged Off,credit_card,36.72,0.0,1997-07-01,19.0,0.0,699,695,52150,69.0,25337.0,2018-03-01,0.0,40.97004,60,0.10873016
10091957,22000,22000, 36 months,15.6,769.23,C,10+ years,OWN,50000.0,Verified,2014-01-01,Charged Off,credit_card,25.56,0.0,2000-05-01,20.0,0.0,664,660,10104,47.0,19721.89,2016-01-01,1261.57,23.984066,36,-3.451681
17483342,7125,7125, 36 months,24.0,281.41,F,< 1 year,RENT,24000.0,Not Verified,2014-06-01,Charged Off,medical,13.82,0.0,1998-01-01,7.0,0.0,754,750,4875,23.0,8827.64,2017-01-01,103.93,31.047865,36,7.965566
427989,8000,8000, 36 months,14.4,275.07,D,1 year,RENT,54000.0,Source Verified,2009-07-01,Fully Paid,debt_consolidation,7.0,0.0,2004-03-01,12.0,0.0,664,660,14867,57.0,9830.773,2012-01-01,0.0,30.029364,36,7.628223
6415303,19200,19200, 36 months,10.6,625.32,B,4 years,MORTGAGE,50000.0,Verified,2013-07-01,Fully Paid,debt_consolidation,24.84,0.0,2005-08-01,12.0,0.0,694,690,9368,34.0,21834.22,2015-04-01,0.0,20.99427,36,4.5733
137856499,28000,28000, 36 months,17.9,1011.85,D,1 year,RENT,45000.0,Not Verified,2018-08-01,Fully Paid,credit_card,27.71,0.0,2006-08-01,27.0,0.0,689,685,18701,37.0,28773.816,2018-09-01,0.0,1.0185014,36,0.92121005
37832269,10000,10000, 36 months,8.6,316.47,B,7 years,OWN,72408.0,Not Verified,2015-01-01,Fully Paid,credit_card,30.63,0.0,1993-10-01,22.0,0.0,664,660,22241,37.0,11382.617,2017-09-01,0.0,32.000656,36,4.608724
122275025,20000,20000, 36 months,13.5,679.58,C,< 1 year,MORTGAGE,85000.0,Not Verified,2017-11-01,Fully Paid,debt_consolidation,32.27,0.0,2007-03-01,16.0,0.0,689,685,17331,30.0,22030.635,2018-09-01,0.0,9.9878845,36,3.384391
27640744,24000,24000, 60 months,20.9,649.15,E,4 years,RENT,90000.0,Verified,2014-09-01,Charged Off,debt_consolidation,24.15,0.0,2000-09-01,30.0,0.0,674,670,24166,60.0,32486.97,2018-11-01,0.0,50.005135,60,7.072476
132957593,15000,15000, 36 months,11.9,498.08,B,10+ years,RENT,35000.0,Source Verified,2018-05-01,Charged Off,credit_card,25.27,0.0,2000-03-01,18.0,0.0,669,665,17403,43.0,488.1,2018-06-01,0.0,1.0185014,36,-32.24867
70975579,14000,14000, 36 months,9.7,450.1,B,7 years,MORTGAGE,105000.0,Not Verified,2016-02-01,Charged Off,credit_card,23.71,0.0,2006-09-01,9.0,0.0,719,715,7948,40.0,14395.62,2018-10-01,0.0,31.967802,36,0.9419527
46765969,15000,15000, 36 months,9.1,478.19,B,3 years,RENT,50000.0,Source Verified,2015-05-01,Fully Paid,debt_consolidation,31.32,0.0,2002-07-01,13.0,0.0,679,675,14701,55.0,16888.39,2017-04-01,0.0,23.031273,36,4.196424
46772767,35000,35000, 60 months,25.0,1043.78,G,9 years,MORTGAGE,105000.0,Verified,2015-04-01,Fully Paid,debt_consolidation,24.24,2.0,2002-10-01,13.0,0.0,679,675,34751,84.0,59760.18,2019-01-01,0.0,45.044044,60,14.148673
2045288,12000,12000, 36 months,18.7,438.36,D,< 1 year,RENT,135000.0,Source Verified,2012-11-01,Fully Paid,credit_card,4.47,0.0,2009-01-01,6.0,0.0,669,665,14011,76.0,15780.813,2015-12-01,0.0,36.961746,36,10.50226
3380434,11500,11500, 36 months,14.0,393.55,B,2 years,MORTGAGE,35000.0,Verified,2013-02-01,Fully Paid,debt_consolidation,17.45,0.0,2007-01-01,6.0,0.0,689,685,6341,90.0,14167.605,2016-02-01,0.0,35.976097,36,7.7321897
58543370,15000,15000, 36 months,11.5,494.86,B,< 1 year,RENT,57000.0,Source Verified,2015-08-01,Fully Paid,debt_consolidation,23.16,0.0,2003-11-01,6.0,0.0,699,695,7054,50.0,17709.803,2017-12-01,0.0,28.025217,36,6.021784
6545170,6000,6000, 36 months,12.3,200.3,B,1 year,RENT,40000.0,Verified,2013-08-01,Fully Paid,debt_consolidation,31.74,0.0,1999-04-01,10.0,0.0,709,705,11958,60.0,7197.44,2016-04-01,0.0,32.000656,36,6.6524444
70081301,8000,8000, 36 months,6.9,246.99,A,3 years,RENT,60000.0,Source Verified,2016-01-01,Fully Paid,debt_consolidation,27.72,0.0,1990-07-01,13.0,0.0,689,685,26075,62.0,8716.694,2017-09-01,0.0,20.008625,36,2.9862263
761214,6000,6000, 60 months,15.2,143.47,C,7 years,RENT,62400.0,Source Verified,2011-05-01,Charged Off,car,12.77,0.0,2000-03-01,9.0,0.0,694,690,6247,35.0,6456.15,2015-03-01,26.88,45.996838,60,1.5204997
99235596,35000,35000, 36 months,13.4,1187.57,C,4 years,RENT,96420.0,Verified,2017-03-01,Charged Off,home_improvement,1.32,0.0,2007-05-01,8.0,0.0,794,790,1124,1.0,5625.55,2017-04-01,4464.21,1.0185014,36,-27.975668
80588292,10000,10000, 36 months,7.8,312.86,A,10+ years,OWN,39000.0,Not Verified,2016-06-01,Fully Paid,credit_card,22.03,0.0,2002-07-01,11.0,1.0,674,670,6640,52.0,11063.539,2018-04-01,0.0,21.979918,36,3.5451303
20701697,15000,15000, 36 months,10.1,485.07,B,3 years,RENT,50000.0,Not Verified,2014-07-01,Fully Paid,credit_card,15.77,0.0,1994-02-01,8.0,0.0,699,695,24669,69.0,17369.604,2017-01-01,0.0,30.06222,36,5.2657857
31848263,10000,10000, 36 months,7.6,311.94,A,10+ years,MORTGAGE,104000.0,Not Verified,2014-10-01,Fully Paid,home_improvement,14.58,0.0,1991-01-01,6.0,1.0,664,660,3910,29.0,10636.15,2015-09-01,0.0,11.006386,36,2.1205013
6578028,10000,10000, 36 months,18.2,362.78,D,8 years,OWN,98800.0,Verified,2013-08-01,Fully Paid,debt_consolidation,4.4,1.0,1994-12-01,5.0,0.0,679,675,15657,84.0,12813.16,2015-10-01,0.0,25.988213,36,9.377201
97513465,6000,6000, 36 months,11.3,197.55,B,1 year,MORTGAGE,46000.0,Source Verified,2017-03-01,Fully Paid,debt_consolidation,20.04,0.0,1992-05-01,8.0,1.0,664,660,2874,95.0,6538.5166,2018-01-01,0.0,10.053595,36,2.9917588
42663455,15000,15000, 60 months,9.1,312.62,B,10+ years,MORTGAGE,115000.0,Source Verified,2015-03-01,Fully Paid,debt_consolidation,23.63,0.0,1989-05-01,18.0,0.0,719,715,53805,73.0,18100.174,2018-03-01,0.0,36.008953,60,4.133565
7080691,12000,12000, 60 months,22.0,336.23,E,6 years,RENT,50000.0,Verified,2013-09-01,Charged Off,debt_consolidation,25.82,0.0,2005-12-01,17.0,0.0,664,660,9297,65.0,3010.25,2014-01-01,1665.61,4.008296,60,-14.982916
69085990,5000,5000, 36 months,9.0,160.87,B,< 1 year,RENT,40000.0,Source Verified,2016-01-01,Fully Paid,home_improvement,15.69,4.0,1997-03-01,6.0,0.0,674,670,3813,44.0,5505.4595,2017-05-01,0.0,15.967474,36,3.3697298
141611834,12150,12150, 60 months,22.3,338.0,D,10+ years,MORTGAGE,54000.0,Not Verified,2018-10-01,Fully Paid,debt_consolidation,24.44,2.0,1999-09-01,14.0,0.0,674,670,3793,28.0,12964.54,2019-02-01,0.0,4.0411506,60,1.3408066
112838121,12850,12850, 60 months,13.5,296.28,C,4 years,MORTGAGE,42270.0,Verified,2017-07-01,Charged Off,debt_consolidation,30.32,1.0,1997-03-01,11.0,0.0,684,680,26856,66.0,3841.94,2018-08-01,0.0,13.010534,60,-14.020328
56120098,10000,10000, 36 months,9.9,322.63,B,10+ years,MORTGAGE,150000.0,Not Verified,2015-07-01,Fully Paid,credit_card,12.67,0.0,2003-07-01,12.0,0.0,739,735,6765,19.0,11056.75,2016-11-01,0.0,16.066038,36,3.5225
6816078,22000,22000, 36 months,13.6,748.5,C,10+ years,RENT,88000.0,Verified,2013-09-01,Fully Paid,debt_consolidation,14.4,0.0,1999-01-01,11.0,0.0,699,695,21621,64.0,26835.94,2016-06-01,0.0,32.986305,36,7.3271813
890625,14000,14000, 36 months,6.0,426.1,A,10+ years,MORTGAGE,85000.0,Source Verified,2011-09-01,Fully Paid,credit_card,8.02,0.0,1991-02-01,7.0,0.0,769,765,14386,18.0,14724.926,2012-10-01,0.0,13.010534,36,1.7260138
102126336,10000,10000, 36 months,7.2,309.87,A,3 years,MORTGAGE,84000.0,Not Verified,2017-03-01,Charged Off,credit_card,30.17,0.0,1985-12-01,19.0,0.0,749,745,18438,35.0,2784.81,2017-12-01,0.0,9.035093,36,-24.050634
133449987,10000,10000, 36 months,21.8,381.13,D,10+ years,RENT,28000.0,Not Verified,2018-05-01,Charged Off,other,32.36,0.0,2002-12-01,6.0,0.0,689,685,6279,94.0,1512.38,2018-09-01,0.0,4.0411506,36,-28.292068
131365576,2400,2400, 36 months,14.0,82.11,C,3 years,MORTGAGE,24000.0,Verified,2018-04-01,Fully Paid,other,10.25,1.0,2002-10-01,6.0,0.0,664,660,3160,52.0,2482.3772,2018-07-01,0.0,2.9897945,36,1.1441278
8999578,18000,18000, 36 months,9.4,576.51,B,4 years,MORTGAGE,72000.0,Not Verified,2015-01-01,Fully Paid,debt_consolidation,32.98,0.0,1995-06-01,14.0,2.0,674,670,11269,43.0,20264.23,2016-10-01,0.0,20.99427,36,4.1930194
435064,7000,7000, 36 months,17.0,249.72,E,< 1 year,RENT,40000.0,Not Verified,2009-08-01,Charged Off,small_business,6.9,1.0,1997-10-01,7.0,0.0,704,700,5035,76.0,1048.55,2010-01-01,299.53,5.0267973,36,-28.340239
52636381,35000,35000, 36 months,8.1,1099.69,B,10+ years,MORTGAGE,350000.0,Source Verified,2015-06-01,Fully Paid,debt_consolidation,9.31,0.0,1982-01-01,12.0,0.0,764,760,40594,71.0,39501.496,2018-06-01,0.0,36.008953,36,4.287139
34413325,4000,4000, 36 months,10.4,130.0,B,< 1 year,RENT,1000000.0,Source Verified,2014-11-01,Charged Off,debt_consolidation,1.33,0.0,2000-08-01,12.0,1.0,664,660,10713,64.0,3382.16,2016-07-01,1384.49,19.975769,36,-5.148668
38477753,17400,17400, 60 months,16.4,427.68,D,< 1 year,RENT,35000.0,Source Verified,2015-01-01,Charged Off,credit_card,29.15,0.0,1999-05-01,14.0,1.0,664,660,14711,58.0,14458.04,2017-05-01,2498.94,27.959507,60,-3.381563
838518,20000,20000, 36 months,9.9,645.25,B,5 years,RENT,70000.0,Verified,2011-08-01,Fully Paid,debt_consolidation,22.34,0.0,1976-10-01,7.0,0.0,749,745,18478,54.0,23228.994,2014-08-01,0.0,36.008953,36,5.3816566
116836484,1000,1000, 36 months,29.6,42.29,F,,RENT,20000.0,Source Verified,2017-08-01,Fully Paid,other,11.58,0.0,2009-03-01,4.0,0.0,704,700,3986,30.0,1136.854,2018-02-01,0.0,6.0452986,36,4.5618
1147252,8000,8000, 36 months,13.6,272.15,B,10+ years,RENT,45000.0,Verified,2012-02-01,Fully Paid,debt_consolidation,22.32,2.0,1996-09-01,5.0,0.0,684,680,260,21.0,9757.21,2014-09-01,0.0,30.982155,36,7.3217087
1339858,9700,9700, 36 months,14.6,334.6,C,< 1 year,RENT,26544.0,Verified,2012-06-01,Fully Paid,debt_consolidation,25.54,0.0,2007-06-01,5.0,0.0,674,670,2599,40.0,10157.744,2012-10-01,0.0,4.008296,36,1.573004
43749991,26375,26375, 60 months,24.9,773.99,F,10+ years,MORTGAGE,60000.0,Source Verified,2015-04-01,Fully Paid,debt_consolidation,18.98,2.0,2002-03-01,11.0,0.0,669,665,30659,78.0,34329.68,2016-07-01,0.0,15.014682,60,6.0319843
136294180,8800,8800, 36 months,11.5,290.4,B,3 years,MORTGAGE,60000.0,Not Verified,2018-07-01,Fully Paid,credit_card,25.2,0.0,2006-10-01,12.0,1.0,729,725,8986,31.0,9065.709,2018-10-01,0.0,3.0226493,36,1.0064734
10160752,11200,11200, 60 months,16.9,278.29,D,1 year,MORTGAGE,42000.0,Source Verified,2014-01-01,Fully Paid,debt_consolidation,12.11,0.0,2007-03-01,7.0,0.0,674,670,11841,85.0,16697.271,2019-01-01,0.0,59.99302,60,9.816556
62834591,12000,12000, 36 months,8.1,377.04,B,10+ years,RENT,66000.0,Not Verified,2015-11-01,Fully Paid,debt_consolidation,20.24,1.0,1977-04-01,13.0,0.0,669,665,24188,64.0,13005.277,2017-01-01,0.0,14.029036,36,2.792437
36441900,11000,11000, 36 months,12.9,370.59,C,4 years,RENT,36000.0,Not Verified,2014-12-01,Charged Off,debt_consolidation,9.17,0.0,2006-10-01,10.0,0.0,674,670,8540,48.0,6630.16,2016-06-01,0.0,18.004477,36,-13.24194
69443038,8000,8000, 36 months,11.4,263.74,B,1 year,RENT,43200.0,Not Verified,2016-01-01,Fully Paid,debt_consolidation,29.25,1.0,1995-11-01,26.0,3.0,694,690,10870,53.0,9504.489,2019-01-01,0.0,36.008953,36,6.2687054
33201149,10000,10000, 36 months,12.4,334.49,B,10+ years,MORTGAGE,61000.0,Source Verified,2014-11-01,Fully Paid,debt_consolidation,25.6,0.0,1997-10-01,16.0,0.0,694,690,64705,60.0,12034.626,2017-11-01,0.0,36.008953,36,6.782087
67675814,5000,5000, 36 months,11.2,164.22,B,2 years,RENT,49900.0,Source Verified,2015-12-01,Charged Off,debt_consolidation,18.33,2.0,2003-07-01,14.0,0.0,664,660,13418,51.0,1734.06,2016-09-01,414.76,9.035093,36,-21.772932
129578786,2300,2300, 36 months,6.0,70.05,A,2 years,MORTGAGE,50000.0,Not Verified,2018-03-01,Fully Paid,debt_consolidation,20.55,0.0,2009-04-01,9.0,0.0,794,790,1857,11.0,2362.681,2018-09-01,0.0,6.0452986,36,0.90841895
130751163,10000,10000, 36 months,25.8,401.9,E,6 years,OWN,77000.0,Not Verified,2018-03-01,Charged Off,small_business,7.5,1.0,1995-11-01,14.0,0.0,674,670,9019,82.0,1718.9,2018-10-01,0.0,7.0309453,36,-27.603666
72782247,27000,27000, 36 months,5.3,813.1,A,10+ years,MORTGAGE,170000.0,Not Verified,2016-02-01,Fully Paid,credit_card,8.17,0.0,1997-01-01,17.0,0.0,789,785,23387,5.0,29263.584,2019-02-01,0.0,36.008953,36,2.794548
5949702,9450,9450, 36 months,14.3,324.5,C,1 year,MORTGAGE,30000.0,Not Verified,2013-07-01,Fully Paid,credit_card,16.48,0.0,2008-11-01,5.0,0.0,664,660,3276,64.0,11681.79,2016-07-01,0.0,36.008953,36,7.8722754
4565645,7000,7000, 36 months,13.1,236.23,B,5 years,RENT,32000.0,Not Verified,2013-05-01,Fully Paid,debt_consolidation,23.96,0.0,2004-04-01,13.0,0.0,699,695,11354,78.0,8504.224,2016-05-01,0.0,36.008953,36,7.1629696
15719881,18000,18000, 36 months,13.6,612.15,C,10+ years,MORTGAGE,65000.0,Source Verified,2014-05-01,Fully Paid,credit_card,27.09,2.0,1986-12-01,14.0,0.0,669,665,21933,63.0,21827.39,2016-09-01,0.0,28.058071,36,7.08776
14579507,20000,20000, 36 months,10.1,646.76,B,10+ years,MORTGAGE,103000.0,Not Verified,2014-05-01,Charged Off,credit_card,10.63,0.0,1990-04-01,6.0,0.0,719,715,18787,79.0,4593.14,2014-12-01,712.58,7.0309453,36,-25.678099
44875446,15000,15000, 60 months,9.1,312.62,B,10+ years,RENT,51000.0,Not Verified,2015-04-01,Fully Paid,debt_consolidation,11.6,1.0,1988-10-01,13.0,0.0,744,740,1188,3.0,18518.506,2019-02-01,0.0,46.062546,60,4.691341
93719164,10425,10425, 36 months,13.4,353.73,C,4 years,RENT,50000.0,Source Verified,2016-11-01,Fully Paid,debt_consolidation,34.3,0.0,2003-09-01,19.0,0.0,684,680,7418,45.0,12241.333,2018-07-01,0.0,19.942915,36,5.807619
85683901,2500,2500, 36 months,15.5,87.39,C,4 years,OWN,55000.0,Source Verified,2016-07-01,Charged Off,home_improvement,17.78,0.0,2001-10-01,10.0,0.0,699,695,15306,76.0,2410.14,2019-01-01,0.0,30.029364,36,-1.1981349
61492352,10000,10000, 36 months,5.3,301.15,A,8 years,RENT,90000.0,Not Verified,2015-10-01,Fully Paid,debt_consolidation,8.67,0.0,2007-07-01,17.0,0.0,759,755,2332,3.0,10854.558,2018-08-01,0.0,34.004807,36,2.8485253
119248307,25000,25000, 36 months,13.5,849.48,C,10+ years,RENT,68000.0,Not Verified,2017-09-01,Fully Paid,debt_consolidation,27.27,0.0,1998-06-01,14.0,1.0,694,690,11359,39.0,26125.393,2018-01-01,0.0,4.008296,36,1.5005234
68792368,8000,8000, 36 months,18.9,293.21,E,,MORTGAGE,28641.0,Source Verified,2016-01-01,Charged Off,credit_card,27.66,0.0,1996-09-01,7.0,0.0,669,665,13526,82.0,2044.03,2016-08-01,0.0,6.9980903,36,-24.81654
78270008,28000,28000, 36 months,6.9,864.18,A,10+ years,MORTGAGE,235000.0,Verified,2016-05-01,Fully Paid,credit_card,23.06,0.0,1998-07-01,15.0,0.0,709,705,46150,88.0,30827.889,2018-06-01,0.0,25.002567,36,3.3665342
10705243,10000,10000, 36 months,16.9,356.48,D,2 years,MORTGAGE,50000.0,Verified,2014-01-01,Fully Paid,credit_card,23.09,0.0,2003-06-01,13.0,0.0,674,670,11187,72.0,10141.59,2014-02-01,0.0,1.0185014,36,0.47196615
46557750,14700,14700, 60 months,19.5,385.55,E,9 years,RENT,41000.0,Source Verified,2015-04-01,Charged Off,debt_consolidation,23.19,0.0,2005-03-01,7.0,1.0,664,660,3628,55.0,10707.13,2017-04-01,1469.87,24.01692,60,-5.4324765
137945468,7000,7000, 36 months,18.9,256.38,D,,RENT,104000.0,Not Verified,2018-08-01,Charged Off,other,18.89,1.0,2000-12-01,9.0,0.0,669,665,19032,78.0,241.65,2018-09-01,0.0,1.0185014,36,-32.18262
134297331,4800,4800, 36 months,9.5,153.94,B,10+ years,MORTGAGE,35000.0,Source Verified,2018-05-01,Fully Paid,house,8.2,0.0,2002-03-01,15.0,1.0,689,685,6257,20.0,4802.8735,2018-06-01,0.0,1.0185014,36,0.019955106
34473661,19750,19750, 36 months,12.3,659.67,C,10+ years,MORTGAGE,45000.0,Source Verified,2014-11-01,Fully Paid,credit_card,31.15,0.0,1995-07-01,10.0,0.0,719,715,32470,76.0,23616.477,2017-06-01,0.0,30.982155,36,6.5256987
4806570,16450,16450, 36 months,12.1,547.32,B,3 years,MORTGAGE,43477.0,Verified,2013-05-01,Fully Paid,debt_consolidation,13.83,0.0,2006-11-01,10.0,0.0,684,680,3176,41.0,18909.18,2014-12-01,0.0,19.022978,36,4.98314
1066264,10000,10000, 36 months,11.7,330.76,B,5 years,RENT,86600.0,Verified,2012-01-01,Fully Paid,debt_consolidation,18.75,0.0,1988-12-01,8.0,0.0,694,690,16973,74.0,11907.35,2015-01-01,0.0,36.008953,36,6.357832
67426554,16000,16000, 36 months,6.2,488.5,A,10+ years,OWN,100000.0,Not Verified,2015-12-01,Fully Paid,credit_card,10.63,0.0,1982-09-01,8.0,0.0,739,735,17554,19.0,17116.732,2017-05-01,0.0,16.985975,36,2.326526
75295455,5000,5000, 36 months,16.2,176.51,D,3 years,RENT,85000.0,Source Verified,2016-03-01,Charged Off,debt_consolidation,28.31,0.0,2005-09-01,29.0,0.0,664,660,11602,100.0,4006.02,2017-09-01,0.0,18.03733,36,-6.626533
77068206,22000,22000, 36 months,7.8,688.29,A,2 years,MORTGAGE,55000.0,Verified,2016-04-01,Fully Paid,debt_consolidation,16.34,1.0,1995-10-01,14.0,0.0,679,675,26139,38.0,23207.002,2017-01-01,0.0,9.035093,36,1.8287909
